,Rogojin,Gania,Epanchin,Lizabetha Prokofievna,Evgenie Pavlovitch,Colia,Muishkin,Lebedeff,Hippolyte,Burdovsky
Rogojin,0.0,0.26156996324503806,0.10779107109270722,0.032012649060832205,0.05923929032920546,0.03446273711265728,0.012430990959584484,0.026436929500829758,0.01765304623831113,0.0825393291990958
Gania,0.26156996324503806,0.0,0.22090429314000037,0.343662904077948,0.25595049643473816,0.0717496550182202,0.24596978120047247,0.053255415653067725,0.10176694251845227,0.42595242755464374
Epanchin,0.10779107109270722,0.22090429314000037,0.0,0.11865038253068155,0.08473400260596256,0.10949852947964994,0.05950942585702729,0.09001086288110395,0.06853216797737664,0.1444575804665012
Lizabetha Prokofievna,0.032012649060832205,0.343662904077948,0.11865038253068155,0.0,0.2237406400858093,0.26059670475891217,0.040726532417208396,0.21575166896912185,0.1826368611096299,0.07805898357605445
Evgenie Pavlovitch,0.05923929032920546,0.25595049643473816,0.08473400260596256,0.2237406400858093,0.0,0.29568377702982673,0.15156929103708094,0.30116376052597527,0.16830561075361533,0.22017355030544575
Colia,0.03446273711265728,0.0717496550182202,0.10949852947964994,0.26059670475891217,0.29568377702982673,0.0,0.2507761655417847,0.053598973149265525,0.12062482404007091,0.42326958028415335
Muishkin,0.012430990959584484,0.24596978120047247,0.05950942585702729,0.040726532417208396,0.15156929103708094,0.2507761655417847,0.0,0.22541055193590956,0.2147545551214326,0.20626661683286404
Lebedeff,0.026436929500829758,0.053255415653067725,0.09001086288110395,0.21575166896912185,0.30116376052597527,0.053598973149265525,0.22541055193590956,0.0,0.1797135831874849,0.48818982489123885
Hippolyte,0.01765304623831113,0.10176694251845227,0.06853216797737664,0.1826368611096299,0.16830561075361533,0.12062482404007091,0.2147545551214326,0.1797135831874849,0.0,0.4805252498700883
Burdovsky,0.0825393291990958,0.42595242755464374,0.1444575804665012,0.07805898357605445,0.22017355030544575,0.42326958028415335,0.20626661683286404,0.48818982489123885,0.4805252498700883,0.0
