,Rogojin,Gania,Epanchin,Lizabetha Prokofievna,Evgenie Pavlovitch,Colia,Muishkin,Lebedeff,Hippolyte,Burdovsky
Rogojin,0.0,0.2877390964175276,0.11239507661253278,0.03607331225375985,0.06063497959317715,0.03781874994306366,0.013484272070623037,0.02936722634637929,0.01878557363093516,0.09664295551572835
Gania,0.2877390964175276,0.0,0.23990770445427947,0.38730071265775234,0.28914284032518306,0.08067485219973988,0.27943970006788754,0.059961359292326086,0.11571132238322403,0.4873165977202981
Epanchin,0.11239507661253278,0.23990770445427947,0.0,0.13594094231677362,0.09564910353297382,0.12173833558726704,0.068393926739255,0.10086122879406839,0.07581719280550259,0.16755654614101056
Lizabetha Prokofievna,0.03607331225375985,0.38730071265775234,0.13594094231677362,0.0,0.24118628055466035,0.29025229948287207,0.04485200772100502,0.24197255549429103,0.19832452244034424,0.08986206395249358
Evgenie Pavlovitch,0.06063497959317715,0.28914284032518306,0.09564910353297382,0.24118628055466035,0.0,0.32927169181812044,0.16948821715577855,0.3373884328111037,0.1895902785767013,0.24963360468553658
Colia,0.03781874994306366,0.08067485219973988,0.12173833558726704,0.29025229948287207,0.32927169181812044,0.0,0.28379496079197614,0.05941883135104147,0.13354396751655345,0.4829398550061529
Muishkin,0.013484272070623037,0.27943970006788754,0.068393926739255,0.04485200772100502,0.16948821715577855,0.28379496079197614,0.0,0.2549029897808002,0.23593154257490925,0.23746664237820345
Lebedeff,0.02936722634637929,0.059961359292326086,0.10086122879406839,0.24197255549429103,0.3373884328111037,0.05941883135104147,0.2549029897808002,0.0,0.1994089441573107,0.5544973086708593
Hippolyte,0.01878557363093516,0.11571132238322403,0.07581719280550259,0.19832452244034424,0.1895902785767013,0.13354396751655345,0.23593154257490925,0.1994089441573107,0.0,0.5396056982704125
Burdovsky,0.09664295551572835,0.4873165977202981,0.16755654614101056,0.08986206395249358,0.24963360468553658,0.4829398550061529,0.23746664237820345,0.5544973086708593,0.5396056982704125,0.0
