,Zverkov,Simonov,Liza,Ferfitchkin,Trudolyubov,Anton Antonitch,Apollon,h’m,Petersburg,l’homme de la
Zverkov,0.0,0.2627975736150726,0.5229365467986767,0.008806553587817395,0.007824657534246557,0.10145824127264691,0.24422153483576378,0.06076447193990265,0.011833848873177205,0.0067786124613345156
Simonov,0.2627975736150726,0.0,0.3277314256368609,0.038434345151092855,0.02680335837384007,0.07678050628116911,0.13610841066430998,0.032023862129916,0.027627043747238192,0.01256738842244809
Liza,0.5229365467986767,0.3277314256368609,0.0,0.651190727081138,0.5985993813521873,0.026432674704879755,0.035890410958904134,0.12689350419796736,0.6428899690676093,0.5121961997348652
Ferfitchkin,0.008806553587817395,0.038434345151092855,0.651190727081138,0.0,0.0681990278391516,0.2753917050691244,0.5160141405214317,0.29918250110472827,0.029571365444100745,0.0007600530269553651
Trudolyubov,0.007824657534246557,0.02680335837384007,0.5985993813521873,0.0681990278391516,0.0,0.27195505334259185,0.5104315804978641,0.2966151126822802,0.026707909854175885,0.009412284577993812
Anton Antonitch,0.10145824127264691,0.07678050628116911,0.026432674704879755,0.2753917050691244,0.27195505334259185,0.0,0.21380173810575925,0.18980556783031366,0.7948387096774194,0.6641449403446753
Apollon,0.24422153483576378,0.13610841066430998,0.035890410958904134,0.5160141405214317,0.5104315804978641,0.21380173810575925,0.0,0.3822138753866549,1.2428015908086611,1.112107821475917
h’m,0.06076447193990265,0.032023862129916,0.12689350419796736,0.29918250110472827,0.2966151126822802,0.18980556783031366,0.3822138753866549,0.0,0.6725673884224481,0.5828281042863456
Petersburg,0.011833848873177205,0.027627043747238192,0.6428899690676093,0.029571365444100745,0.026707909854175885,0.7948387096774194,1.2428015908086611,0.6725673884224481,0.0,0.13069376933274415
l’homme de la,0.0067786124613345156,0.01256738842244809,0.5121961997348652,0.0007600530269553651,0.009412284577993812,0.6641449403446753,1.112107821475917,0.5828281042863456,0.13069376933274415,0.0
