,Zverkov,Simonov,Liza,Ferfitchkin,Trudolyubov,Anton Antonitch,Apollon,h’m,Petersburg,l’homme de la
Zverkov,0.0,0.23683177548640227,0.47693578112278523,0.008027099874172544,0.006919033027932594,0.08596752775474334,0.2078525766055088,0.052969509425878636,0.012644869611058762,0.0069112669749542555
Simonov,0.23683177548640227,0.0,0.2955576001436647,0.039714281004091995,0.026196945024550635,0.06572289659321727,0.1166773063368806,0.027805457922816065,0.02926581972488948,0.012838386735476215
Liza,0.47693578112278523,0.2955576001436647,0.0,0.6044564506017261,0.5562420518417777,0.02434672824462004,0.030985701384249314,0.1225953576258236,0.6294668340639095,0.49212670892612487
Ferfitchkin,0.008027099874172544,0.039714281004091995,0.6044564506017261,0.0,0.06106671441382669,0.23346393627045317,0.4382233565839359,0.2547738828125436,0.03125003424111196,0.0007762908548280822
Trudolyubov,0.006919033027932594,0.026196945024550635,0.5562420518417777,0.06106671441382669,0.0,0.2307496501270334,0.4335546864514791,0.2527018400901584,0.028262031872985552,0.009593183741338579
Anton Antonitch,0.08596752775474334,0.06572289659321727,0.02434672824462004,0.23346393627045317,0.2307496501270334,0.0,0.1826686108031467,0.17334062007353288,0.7614787488079456,0.624138623670161
Apollon,0.2078525766055088,0.1166773063368806,0.030985701384249314,0.4382233565839359,0.4335546864514791,0.1826686108031467,0.0,0.3471822546615163,1.165581127250896,1.0282410021131114
h’m,0.052969509425878636,0.027805457922816065,0.1225953576258236,0.2547738828125436,0.2527018400901584,0.17334062007353288,0.3471822546615163,0.0,0.6357703344010962,0.5405799917025397
Petersburg,0.012644869611058762,0.02926581972488948,0.6294668340639095,0.03125003424111196,0.028262031872985552,0.7614787488079456,1.165581127250896,0.6357703344010962,0.0,0.1373401251377846
l’homme de la,0.0069112669749542555,0.012838386735476215,0.49212670892612487,0.0007762908548280822,0.009593183741338579,0.624138623670161,1.0282410021131114,0.5405799917025397,0.1373401251377846,0.0
