,Zverkov,Simonov,Liza,Ferfitchkin,Trudolyubov,Anton Antonitch,Apollon,h’m,Petersburg,l’homme de la
Zverkov,0.0,0.2892986644356918,0.5686245811091188,0.009635368592695606,0.008819256333730924,0.11857643522732526,0.2841107024421416,0.06903307116618018,0.010964984311912021,0.006582038188173753
Simonov,0.2892986644356918,0.0,0.3607157826743197,0.037048914425127075,0.027177412764939235,0.08890632266853249,0.15720882586711224,0.03651558152572462,0.025822242989414435,0.012179197791434601
Liza,0.5686245811091188,0.3607157826743197,0.0,0.6958714586883556,0.6390449481767676,0.028463391336095174,0.04115691180427428,0.13026828184764697,0.6514048918194374,0.5282324595785054
Ferfitchkin,0.009635368592695606,0.037048914425127075,0.6958714586883556,0.0,0.0756191170492477,0.3216680997189604,0.6015978959058953,0.347866749998512,0.027705480565848685,0.0007367134463262676
Trudolyubov,0.008819256333730924,0.027177412764939235,0.6390449481767676,0.0756191170492477,0.0,0.31740173151510787,0.5949893107111163,0.3447419746520633,0.024988760228505887,0.009142494061497267
Anton Antonitch,0.11857643522732526,0.08890632266853249,0.028463391336095174,0.3216680997189604,0.31740173151510787,0.0,0.24775643162557384,0.20686916258572988,0.8242377079612396,0.7010652757203077
Apollon,0.2841107024421416,0.15720882586711224,0.04115691180427428,0.6015978959058953,0.5949893107111163,0.24775643162557384,0.0,0.4179183349464972,1.3161925935512535,1.1930201613103217
h’m,0.06903307116618018,0.03651558152572462,0.13026828184764697,0.347866749998512,0.3447419746520633,0.20686916258572988,0.4179183349464972,0.0,0.7072533268340581,0.6234768540078095
Petersburg,0.010964984311912021,0.025822242989414435,0.6514048918194374,0.027705480565848685,0.024988760228505887,0.8242377079612396,1.3161925935512535,0.7072533268340581,0.0,0.12317243224093194
l’homme de la,0.006582038188173753,0.012179197791434601,0.5282324595785054,0.0007367134463262676,0.009142494061497267,0.7010652757203077,1.1930201613103217,0.6234768540078095,0.12317243224093194,0.0
