,Alyosha,Mitya,Ivan,Smerdyakov,Grushenka,Dmitri,Grigory,Rakitin,Katerina Ivanovna,Dmitri Fyodorovitch
Alyosha,0.0,0.32886623865332243,0.10357305643960843,0.04970539663604634,0.02422743515421762,0.008173803227111587,0.027902907683548972,0.009656224101600532,0.005455638742236291,0.009668481117762116
Mitya,0.32886623865332243,0.0,0.3807388369631184,0.17607508460897475,0.03947734901408202,0.030532032264000926,0.019560325949955604,0.05448066331460275,0.03648654773919048,0.00797959940972755
Ivan,0.10357305643960843,0.3807388369631184,0.0,0.08888806079988976,0.1728502488050701,0.018202732751815213,0.03894718373552583,0.22212489099341726,0.0379930716324282,0.07579466045142763
Smerdyakov,0.04970539663604634,0.17607508460897475,0.08888806079988976,0.0,0.2602728465131307,0.11075148373366066,0.1453476970060623,0.0823433122257426,0.0834761508722596,0.10633684905798971
Grushenka,0.02422743515421762,0.03947734901408202,0.1728502488050701,0.2602728465131307,0.0,0.12196306875158497,0.06925126727164335,0.044088461403847735,0.12355314585144742,0.05777821528830818
Dmitri,0.008173803227111587,0.030532032264000926,0.018202732751815213,0.11075148373366066,0.12196306875158497,0.0,0.09410063784647307,0.43366559568299895,0.0745956451740967,0.08848976563613842
Grigory,0.027902907683548972,0.019560325949955604,0.03894718373552583,0.1453476970060623,0.06925126727164335,0.09410063784647307,0.0,0.6602396073070215,0.3155580993706257,0.1328033349826055
Rakitin,0.009656224101600532,0.05448066331460275,0.22212489099341726,0.0823433122257426,0.044088461403847735,0.43366559568299895,0.6602396073070215,0.0,0.40535608484705876,0.49386723446567926
Katerina Ivanovna,0.005455638742236291,0.03648654773919048,0.0379930716324282,0.0834761508722596,0.12355314585144742,0.0745956451740967,0.3155580993706257,0.40535608484705876,0.0,0.23565474825040017
Dmitri Fyodorovitch,0.009668481117762116,0.00797959940972755,0.07579466045142763,0.10633684905798971,0.05777821528830818,0.08848976563613842,0.1328033349826055,0.49386723446567926,0.23565474825040017,0.0
