,Mlle,Grandmother,Astley,Baron,De Griers,Martha,Marquis,Prascovia,Shlangenberg,Alexis Ivanovitch
Mlle,0.0,0.28569544808924463,0.06080033376799746,0.13153487672880337,0.011318169203015855,0.010734192145797676,0.003032713636667348,0.01871408765951762,0.017221637602726,0.02603602926438166
Grandmother,0.28569544808924463,0.0,0.23984211895383326,0.26640333734215277,0.08965396950213543,0.006386164947499906,0.05337889189550343,0.008602258301596843,0.06422504509921825,0.01029013830426939
Astley,0.06080033376799746,0.23984211895383326,0.0,0.16561485267588694,0.01122035786422438,0.025605370276145952,0.021956637936794247,0.015187579341217335,0.015767187813189032,0.02173030667468433
Baron,0.13153487672880337,0.26640333734215277,0.16561485267588694,0.0,0.2092473634303159,0.46062009497818285,0.3289017087592704,0.2648190602659184,0.11935132291040289,0.0707218380436961
De Griers,0.011318169203015855,0.08965396950213543,0.01122035786422438,0.2092473634303159,0.0,0.16318593212760377,0.10780383510389521,0.1035851790606,0.09501653638003608,0.06543771296853074
Martha,0.010734192145797676,0.006386164947499906,0.025605370276145952,0.46062009497818285,0.16318593212760377,0.0,0.26305893799692665,0.2732720318033006,0.35122644818600934,0.4883130386851073
Marquis,0.003032713636667348,0.05337889189550343,0.021956637936794247,0.3289017087592704,0.10780383510389521,0.26305893799692665,0.0,0.2687005161354981,0.2793382942473442,0.5313627480457005
Prascovia,0.01871408765951762,0.008602258301596843,0.015187579341217335,0.2648190602659184,0.1035851790606,0.2732720318033006,0.2687005161354981,0.0,0.184229053918621,0.24278788334335538
Shlangenberg,0.017221637602726,0.06422504509921825,0.015767187813189032,0.11935132291040289,0.09501653638003608,0.35122644818600934,0.2793382942473442,0.184229053918621,0.0,0.2825215474042895
Alexis Ivanovitch,0.02603602926438166,0.01029013830426939,0.02173030667468433,0.0707218380436961,0.06543771296853074,0.4883130386851073,0.5313627480457005,0.24278788334335538,0.2825215474042895,0.0
