,Mlle,Grandmother,Astley,Baron,De Griers,Martha,Marquis,Prascovia,Shlangenberg,Alexis Ivanovitch
Mlle,0.0,0.2595925962141028,0.05280119079541105,0.11557937293217206,0.009996241833018803,0.011029161251391497,0.0029881127256133643,0.01717926808952656,0.01594027757411143,0.02271683915955104
Grandmother,0.2595925962141028,0.0,0.2152897283061949,0.2336644713541346,0.07869275626888711,0.006673675107763877,0.046817235182610835,0.007934299641545671,0.05777029389302645,0.008930514438402613
Astley,0.05280119079541105,0.2152897283061949,0.0,0.14609001714025627,0.010573305797581665,0.026943894655136476,0.020820033071085403,0.014784760794693461,0.014445710199271489,0.01963883471258741
Baron,0.11557937293217206,0.2336644713541346,0.14609001714025627,0.0,0.19443590074085887,0.44339698360163915,0.3106797506718693,0.24808338499169252,0.11182655400043691,0.06454581105442343
De Griers,0.009996241833018803,0.07869275626888711,0.010573305797581665,0.19443590074085887,0.0,0.15914932856488434,0.10377529824870846,0.09961147685196352,0.08566936675911024,0.05791321339791958
Martha,0.011029161251391497,0.006673675107763877,0.026943894655136476,0.44339698360163915,0.15914932856488434,0.0,0.24169064282012628,0.25618980493201965,0.3237107140373761,0.45267886425341247
Marquis,0.0029881127256133643,0.046817235182610835,0.020820033071085403,0.3106797506718693,0.10377529824870846,0.24169064282012628,0.0,0.24362204224581832,0.2538805263033869,0.4767047284595264
Prascovia,0.01717926808952656,0.007934299641545671,0.014784760794693461,0.24808338499169252,0.09961147685196352,0.25618980493201965,0.24362204224581832,0.0,0.16910519383140907,0.21837479807962895
Shlangenberg,0.01594027757411143,0.05777029389302645,0.014445710199271489,0.11182655400043691,0.08566936675911024,0.3237107140373761,0.2538805263033869,0.16910519383140907,0.0,0.25356217538374404
Alexis Ivanovitch,0.02271683915955104,0.008930514438402613,0.01963883471258741,0.06454581105442343,0.05791321339791958,0.45267886425341247,0.4767047284595264,0.21837479807962895,0.25356217538374404,0.0
