,Mlle,Grandmother,Astley,Baron,De Griers,Martha,Marquis,Prascovia,Shlangenberg,Alexis Ivanovitch
Mlle,0.0,0.3121556960812414,0.06944462805632823,0.148235952850898,0.012724431917287785,0.010447319720348047,0.003064433403256707,0.020242199225767303,0.01847080293295259,0.029592155761792614
Grandmother,0.3121556960812414,0.0,0.2647551220680413,0.30089097853787466,0.10130459140642113,0.0061180222437902,0.06035087480031065,0.009274733441853627,0.07084175835285653,0.011750770265241966
Astley,0.06944462805632823,0.2647551220680413,0.0,0.1859582883360623,0.01186827198291969,0.02422568093142218,0.023018894854146908,0.015571493584823251,0.01709751887366576,0.023855046531484198
Baron,0.148235952850898,0.30089097853787466,0.1859582883360623,0.0,0.22373277186863014,0.4754889916663555,0.3452087073945374,0.2807684660820163,0.12659515561268442,0.07694728114531504
De Griers,0.012724431917287785,0.10130459140642113,0.01186827198291969,0.22373277186863014,0.0,0.16676082564365613,0.11117100064063004,0.10698461448530877,0.10446858928933099,0.07336545775953285
Martha,0.010447319720348047,0.0061180222437902,0.02422568093142218,0.4754889916663555,0.16676082564365613,0.0,0.2855590353322511,0.29020060206224524,0.378903742641603,0.5234811986396919
Marquis,0.003064433403256707,0.06035087480031065,0.023018894854146908,0.3452087073945374,0.11117100064063004,0.2855590353322511,0.0,0.29446768116508604,0.30480637565436813,0.5874890968614851
Prascovia,0.020242199225767303,0.009274733441853627,0.015571493584823251,0.2807684660820163,0.10698461448530877,0.29020060206224524,0.29446768116508604,0.0,0.19955750511615716,0.267614286894176
Shlangenberg,0.01847080293295259,0.07084175835285653,0.01709751887366576,0.12659515561268442,0.10446858928933099,0.378903742641603,0.30480637565436813,0.19955750511615716,0.0,0.3126611237733832
Alexis Ivanovitch,0.029592155761792614,0.011750770265241966,0.023855046531484198,0.07694728114531504,0.07336545775953285,0.5234811986396919,0.5874890968614851,0.267614286894176,0.3126611237733832,0.0
