,Varvara Petrovna,Pyotr Stepanovitch,Stepan Trofimovitch,Nikolay Vsyevolodovitch,Stavrogin,Liputin,Liza,Lebyadkin,Yulia Mihailovna,Kirillov
Varvara Petrovna,0.0,0.25825712726681527,0.08806067004937654,0.2160167294977562,0.08808623003087246,0.10730034565329682,0.03732067056501652,0.06569446986931096,0.02390206092914941,0.1552405585464932
Pyotr Stepanovitch,0.25825712726681527,0.0,0.22163016043866574,0.042623873707040856,0.08283277480628772,0.13948677806386747,0.162848361481847,0.1313202979666963,0.10057291094031477,0.03076162181741683
Stepan Trofimovitch,0.08806067004937654,0.22163016043866574,0.0,0.3457266990813854,0.12169634808565821,0.11707954507295287,0.17855945297760287,0.09521049620937246,0.04744497109886988,0.15252264993288908
Nikolay Vsyevolodovitch,0.2160167294977562,0.042623873707040856,0.3457266990813854,0.0,0.2694559866443465,0.2817717885774166,0.23143654882997874,0.14045433424158615,0.15672437589158628,0.04300651609180418
Stavrogin,0.08808623003087246,0.08283277480628772,0.12169634808565821,0.2694559866443465,0.0,0.15077509338243936,0.2633561130638176,0.1804276564891767,0.15604368805828361,0.07241300303554657
Liputin,0.10730034565329682,0.13948677806386747,0.11707954507295287,0.2817717885774166,0.15077509338243936,0.0,0.1577210500745542,0.07543629822417272,0.1320660604884609,0.1732881439610549
Liza,0.03732067056501652,0.162848361481847,0.17855945297760287,0.23143654882997874,0.2633561130638176,0.1577210500745542,0.0,0.10349120167931655,0.17128596124487594,0.3328094305646502
Lebyadkin,0.06569446986931096,0.1313202979666963,0.09521049620937246,0.14045433424158615,0.1804276564891767,0.07543629822417272,0.10349120167931655,0.0,0.15406884516779834,0.3396937620184829
Yulia Mihailovna,0.02390206092914941,0.10057291094031477,0.04744497109886988,0.15672437589158628,0.15604368805828361,0.1320660604884609,0.17128596124487594,0.15406884516779834,0.0,0.31293506815535366
Kirillov,0.1552405585464932,0.03076162181741683,0.15252264993288908,0.04300651609180418,0.07241300303554657,0.1732881439610549,0.3328094305646502,0.3396937620184829,0.31293506815535366,0.0
