,Varvara Petrovna,Pyotr Stepanovitch,Stepan Trofimovitch,Nikolay Vsyevolodovitch,Stavrogin,Liputin,Liza,Lebyadkin,Yulia Mihailovna,Kirillov
Varvara Petrovna,0.0,0.2294566199263684,0.07917029025128938,0.18841516611371847,0.07657110823896651,0.09591247719030793,0.034009788161045634,0.05793661521162184,0.021677865024975047,0.1336312809578278
Pyotr Stepanovitch,0.2294566199263684,0.0,0.20130158341725882,0.037313644239661055,0.08034092276342528,0.12927914887640926,0.14753801255161042,0.11828323705195326,0.09071478644997133,0.026956670840005935
Stepan Trofimovitch,0.07917029025128938,0.20130158341725882,0.0,0.3092737087107248,0.10816946283601925,0.10168602374379086,0.1575730988253195,0.08337161582211196,0.04240171511677572,0.13140782832847334
Nikolay Vsyevolodovitch,0.18841516611371847,0.037313644239661055,0.3092737087107248,0.0,0.2481969208120586,0.25402310105494236,0.20568486404413108,0.12723131240392965,0.14330737366280283,0.04075253041817381
Stavrogin,0.07657110823896651,0.08034092276342528,0.10816946283601925,0.2481969208120586,0.0,0.13713204935969345,0.2344716504444,0.1616775388666531,0.14100965422097828,0.06364912133908818
Liputin,0.09591247719030793,0.12927914887640926,0.10168602374379086,0.25402310105494236,0.13713204935969345,0.0,0.14007587278781586,0.06681292200388296,0.11781761399706421,0.15242053929306043
Liza,0.034009788161045634,0.14753801255161042,0.1575730988253195,0.20568486404413108,0.2344716504444,0.14007587278781586,0.0,0.09182457554471289,0.15435268809689262,0.295126891750658
Lebyadkin,0.05793661521162184,0.11828323705195326,0.08337161582211196,0.12723131240392965,0.1616775388666531,0.06681292200388296,0.09182457554471289,0.0,0.14006408820683444,0.3025619587553295
Yulia Mihailovna,0.021677865024975047,0.09071478644997133,0.04240171511677572,0.14330737366280283,0.14100965422097828,0.11781761399706421,0.15435268809689262,0.14006408820683444,0.0,0.2771298576452035
Kirillov,0.1336312809578278,0.026956670840005935,0.13140782832847334,0.04075253041817381,0.06364912133908818,0.15242053929306043,0.295126891750658,0.3025619587553295,0.2771298576452035,0.0
