,Varvara Petrovna,Pyotr Stepanovitch,Stepan Trofimovitch,Nikolay Vsyevolodovitch,Stavrogin,Liputin,Liza,Lebyadkin,Yulia Mihailovna,Kirillov
Varvara Petrovna,0.0,0.28810688272602175,0.09741579005148851,0.24529485790069638,0.10055413275674786,0.1190502082542007,0.040568550019386494,0.07387135533245642,0.026147384845435856,0.17865454373458808
Pyotr Stepanovitch,0.28810688272602175,0.0,0.24226353141280987,0.04830661688116339,0.08504000547529839,0.14935340162935554,0.17825720526339514,0.14442797879315294,0.11052448240836518,0.03485689810960776
Stepan Trofimovitch,0.09741579005148851,0.24226353141280987,0.0,0.3831538982607383,0.13592697455474811,0.13363998544954525,0.20056813339095494,0.10777032298293515,0.05265233972711074,0.17538620472590127
Nikolay Vsyevolodovitch,0.24529485790069638,0.04830661688116339,0.3831538982607383,0.0,0.2902816082899463,0.3098554611150973,0.2580303476043474,0.15374308309039475,0.17049498386629763,0.045342589128355246
Stavrogin,0.10055413275674786,0.08504000547529839,0.13592697455474811,0.2902816082899463,0.0,0.16463110484444426,0.2932165222651011,0.19959293941701584,0.17148043113430217,0.08172373569362287
Liputin,0.1190502082542007,0.14935340162935554,0.13363998544954525,0.3098554611150973,0.16463110484444426,0.0,0.1759947071439027,0.0843614458257568,0.14728666601806928,0.19553849700751857
Liza,0.040568550019386494,0.17825720526339514,0.20056813339095494,0.2580303476043474,0.2932165222651011,0.1759947071439027,0.0,0.11572736065745563,0.18932031475656505,0.3724584450985902
Lebyadkin,0.07387135533245642,0.14442797879315294,0.10777032298293515,0.15374308309039475,0.19959293941701584,0.0843614458257568,0.11572736065745563,0.0,0.16889434717633894,0.3785412258097982
Yulia Mihailovna,0.026147384845435856,0.11052448240836518,0.05265233972711074,0.17049498386629763,0.17148043113430217,0.14728666601806928,0.18932031475656505,0.16889434717633894,0.0,0.35039662893759804
Kirillov,0.17865454373458808,0.03485689810960776,0.17538620472590127,0.045342589128355246,0.08172373569362287,0.19553849700751857,0.3724584450985902,0.3785412258097982,0.35039662893759804,0.0
