,Elizabeth,Justine,Clerval,Felix,William,Victor,Frankenstein,Kirwin,Ernest,Margaret
Elizabeth,0.0,0.03904108146941109,0.08433690636460581,0.3964743972146599,0.026852708118862662,0.012301721511348736,0.21985066139431247,0.06268767296783394,0.015283396784421793,0.276141306116251
Justine,0.03904108146941109,0.0,0.25284432036701904,0.7550486322765385,0.040547862775880156,0.10786537128500533,0.34193551386084764,0.0878445068711563,0.018187504293342868,0.7277709686866168
Clerval,0.08433690636460581,0.25284432036701904,0.0,0.6206912914736925,0.10684210700055792,0.0814555196530749,0.36031386208723865,0.019102907569994356,0.04923605612619358,0.3795340412377843
Felix,0.3964743972146599,0.7550486322765385,0.6206912914736925,0.0,0.7104791205598975,0.6463422690740284,0.2685202545067833,0.8164056731363692,0.7063922904215972,0.04365651810796452
William,0.026852708118862662,0.040547862775880156,0.10684210700055792,0.7104791205598975,0.0,0.1553018388490259,0.4472576062541028,0.03868806009873511,0.03170475539695794,0.8004490384719676
Victor,0.012301721511348736,0.10786537128500533,0.0814555196530749,0.6463422690740284,0.1553018388490259,0.0,0.510044485488372,0.10264725783668913,0.06007245355054937,0.5947796566048786
Frankenstein,0.21985066139431247,0.34193551386084764,0.36031386208723865,0.2685202545067833,0.4472576062541028,0.510044485488372,0.0,0.46303442211118173,0.3547946245539443,0.7352191502977321
Kirwin,0.06268767296783394,0.0878445068711563,0.019102907569994356,0.8164056731363692,0.03868806009873511,0.10264725783668913,0.46303442211118173,0.0,0.12038623816393158,0.9889291408614163
Ernest,0.015283396784421793,0.018187504293342868,0.04923605612619358,0.7063922904215972,0.03170475539695794,0.06007245355054937,0.3547946245539443,0.12038623816393158,0.0,0.9316159961820882
Margaret,0.276141306116251,0.7277709686866168,0.3795340412377843,0.04365651810796452,0.8004490384719676,0.5947796566048786,0.7352191502977321,0.9889291408614163,0.9316159961820882,0.0
