,Elizabeth,Justine,Clerval,Felix,William,Victor,Frankenstein,Kirwin,Ernest,Margaret
Elizabeth,0.0,0.034348388697833986,0.07368410192841503,0.365293990903463,0.023603553122210012,0.01099161237072117,0.1855340374831471,0.054800820547375596,0.013327817864816018,0.28126072278941944
Justine,0.034348388697833986,0.0,0.22352114325543018,0.6893909668713805,0.03555958091265377,0.09804094420862328,0.2911404345289396,0.07692038567142181,0.01589782689217008,0.6945306990913118
Clerval,0.07368410192841503,0.22352114325543018,0.0,0.5681860759415351,0.09155476972157961,0.07082933789130076,0.3077073377767217,0.016757541576300553,0.04274680561193681,0.37991011453811
Felix,0.365293990903463,0.6893909668713805,0.5681860759415351,0.0,0.6251094164587602,0.5654025423442429,0.2406509070685821,0.7168197471252569,0.6126968116296176,0.04061387105942138
William,0.023603553122210012,0.03555958091265377,0.09155476972157961,0.6251094164587602,0.0,0.1396350447993834,0.3827523575600745,0.03389343092615895,0.02792345780677652,0.7592308249354188
Victor,0.01099161237072117,0.09804094420862328,0.07082933789130076,0.5654025423442429,0.1396350447993834,0.0,0.43709761186430357,0.08937501851805756,0.05232989622983225,0.5692205363455237
Frankenstein,0.1855340374831471,0.2911404345289396,0.3077073377767217,0.2406509070685821,0.3827523575600745,0.43709761186430357,0.0,0.40160109672253863,0.3058645861228499,0.7007396802888255
Kirwin,0.054800820547375596,0.07692038567142181,0.016757541576300553,0.7168197471252569,0.03389343092615895,0.08937501851805756,0.40160109672253863,0.0,0.10489587464674587,0.9229258139772151
Ernest,0.013327817864816018,0.01589782689217008,0.04274680561193681,0.6126968116296176,0.02792345780677652,0.05232989622983225,0.3058645861228499,0.10489587464674587,0.0,0.873349722657115
Margaret,0.28126072278941944,0.6945306990913118,0.37991011453811,0.04061387105942138,0.7592308249354188,0.5692205363455237,0.7007396802888255,0.9229258139772151,0.873349722657115,0.0
