,Elizabeth,Justine,Clerval,Felix,William,Victor,Frankenstein,Kirwin,Ernest,Margaret
Elizabeth,0.0,0.043942046770631286,0.09562799953189173,0.42992343490030155,0.030251906452243554,0.01364487022189143,0.25794079421083066,0.07099486700773402,0.01735277483886168,0.2698368650960558
Justine,0.043942046770631286,0.0,0.2834064680891839,0.8231369179269078,0.04577967600482727,0.11758903039991174,0.3977713561251907,0.0993210509204776,0.02060129147994525,0.7591596164408063
Clerval,0.09562799953189173,0.2834064680891839,0.0,0.6754847204877527,0.12349179615186906,0.09281850726057453,0.4177910575789294,0.02155911710445871,0.0561541800543101,0.37706476213329587
Felix,0.42992343490030155,0.8231369179269078,0.6754847204877527,0.0,0.8016153008073172,0.7334791883155937,0.29752563851364944,0.9222730513414508,0.8075610567061697,0.04727779362949746
William,0.030251906452243554,0.04577967600482727,0.12349179615186906,0.8016153008073172,0.0,0.17116249793610008,0.5176555162908196,0.0437207632936439,0.035643222706506876,0.8399700786812843
Victor,0.01364487022189143,0.11758903039991174,0.09281850726057453,0.7334791883155937,0.17116249793610008,0.0,0.5895372838246671,0.11671819031819802,0.06827878251041122,0.6196871477954413
Frankenstein,0.25794079421083066,0.3977713561251907,0.4177910575789294,0.29752563851364944,0.5176555162908196,0.5895372838246671,0.0,0.5288173915061686,0.40762397180475585,0.7678066380169555
Kirwin,0.07099486700773402,0.0993210509204776,0.02155911710445871,0.9222730513414508,0.0437207632936439,0.11671819031819802,0.5288173915061686,0.0,0.13680224553525053,1.0549052593805803
Ernest,0.01735277483886168,0.02060129147994525,0.0561541800543101,0.8075610567061697,0.035643222706506876,0.06827878251041122,0.40762397180475585,0.13680224553525053,0.0,0.9892931621731795
Margaret,0.2698368650960558,0.7591596164408063,0.37706476213329587,0.04727779362949746,0.8399700786812843,0.6196871477954413,0.7678066380169555,1.0549052593805803,0.9892931621731795,0.0
