,Glossin,Brown,Bertram,Pleydell,Dinmont,Mannering,Sampson,Lucy,Julia,Ellangowan
Glossin,0.0,0.39492252384529614,0.1762770432038251,0.19027732284858506,0.20690952062430715,0.13649077463328474,0.16037699272942785,0.12881265796386482,0.23595624340981983,0.07044811672607121
Brown,0.39492252384529614,0.0,0.34913514719010014,0.12878495292034334,0.051037211740568474,0.12570408398694272,0.09297951210173319,0.04000288800189975,0.033345318821333854,0.042791623589989454
Bertram,0.1762770432038251,0.34913514719010014,0.0,0.15556634799299018,0.1627340681064308,0.0203699442611116,0.03594603602544906,0.0738468528447484,0.06648754612206961,0.01557149372187557
Pleydell,0.19027732284858506,0.12878495292034334,0.15556634799299018,0.0,0.1228509389544726,0.09690386665119831,0.1624417988579762,0.13199163095705546,0.08580499096308912,0.10532890973236332
Dinmont,0.20690952062430715,0.051037211740568474,0.1627340681064308,0.1228509389544726,0.0,0.2439202258014986,0.10444567351958498,0.11717444448856282,0.06837978261413052,0.13105939132021904
Mannering,0.13649077463328474,0.12570408398694272,0.0203699442611116,0.09690386665119831,0.2439202258014986,0.0,0.17533960108178223,0.36507124169865773,0.4767092555908992,0.10277747957033943
Sampson,0.16037699272942785,0.09297951210173319,0.03594603602544906,0.1624417988579762,0.10444567351958498,0.17533960108178223,0.0,0.258152495323979,0.3091179416137614,0.1732933261502106
Lucy,0.12881265796386482,0.04000288800189975,0.0738468528447484,0.13199163095705546,0.11717444448856282,0.36507124169865773,0.258152495323979,0.0,0.2688717758669626,0.2888892320316946
Julia,0.23595624340981983,0.033345318821333854,0.06648754612206961,0.08580499096308912,0.06837978261413052,0.4767092555908992,0.3091179416137614,0.2688717758669626,0.0,0.5228370524294429
Ellangowan,0.07044811672607121,0.042791623589989454,0.01557149372187557,0.10532890973236332,0.13105939132021904,0.10277747957033943,0.1732933261502106,0.2888892320316946,0.5228370524294429,0.0
