,Glossin,Brown,Bertram,Pleydell,Dinmont,Mannering,Sampson,Lucy,Julia,Ellangowan
Glossin,0.0,0.3503177092853599,0.15415185750919422,0.1665710058220235,0.17781107789501838,0.1220918718720031,0.138855348456675,0.11175777870521435,0.20143327219017892,0.061880688985924526
Brown,0.3503177092853599,0.0,0.31084048160442534,0.11779607077080187,0.047206605016439175,0.11632966718483015,0.08255241341596009,0.03643320927823256,0.028645376945531025,0.040141158118144234
Bertram,0.15415185750919422,0.31084048160442534,0.0,0.1349085040252779,0.1412270985667525,0.018465451304220275,0.03165071370499261,0.07149191019501791,0.057108598137947435,0.014358537711483044
Pleydell,0.1665710058220235,0.11779607077080187,0.1349085040252779,0.0,0.10709586064447313,0.08590727628764219,0.14190227690711327,0.12478268689842056,0.07396293521798147,0.09647879970536737
Dinmont,0.17781107789501838,0.047206605016439175,0.1412270985667525,0.10709586064447313,0.0,0.2184036339497038,0.09264248986561925,0.11226426299938083,0.05842285804710013,0.11923470769326673
Mannering,0.1220918718720031,0.11632966718483015,0.018465451304220275,0.08590727628764219,0.2184036339497038,0.0,0.15788656973244933,0.3277217239206626,0.42154519980591076,0.09239865705338896
Sampson,0.138855348456675,0.08255241341596009,0.03165071370499261,0.14190227690711327,0.09264248986561925,0.15788656973244933,0.0,0.23248017389906717,0.2700363118629388,0.1550809243133472
Lucy,0.11175777870521435,0.03643320927823256,0.07149191019501791,0.12478268689842056,0.11226426299938083,0.3277217239206626,0.23248017389906717,0.0,0.24619834809319016,0.2642653857814901
Julia,0.20143327219017892,0.028645376945531025,0.057108598137947435,0.07396293521798147,0.05842285804710013,0.42154519980591076,0.2700363118629388,0.24619834809319016,0.0,0.4686961598514689
Ellangowan,0.061880688985924526,0.040141158118144234,0.014358537711483044,0.09647879970536737,0.11923470769326673,0.09239865705338896,0.1550809243133472,0.2642653857814901,0.4686961598514689,0.0
