,Glossin,Brown,Bertram,Pleydell,Dinmont,Mannering,Sampson,Lucy,Julia,Ellangowan
Glossin,0.0,0.4415532617564356,0.2000305233270362,0.21567250276752808,0.23870575735113,0.15161276646450683,0.1835589150451103,0.14788085345333268,0.27371625014347145,0.07955901718447363
Brown,0.4415532617564356,0.0,0.3893507823744441,0.13978123343281798,0.054788915351989154,0.13484857593311342,0.103933267827091,0.04389270607768913,0.038432834288554193,0.04527765053480226
Bertram,0.2000305233270362,0.3893507823744441,0.0,0.17778609430291104,0.18575807109998935,0.02232742306226717,0.040519881154701676,0.07666071194187316,0.07665063576882039,0.016843985029129562
Pleydell,0.21567250276752808,0.13978123343281798,0.17778609430291104,0.0,0.1397062885067511,0.10840775530647938,0.1843393449489097,0.13968662680443408,0.09859768460792369,0.1141747167781702
Dinmont,0.23870575735113,0.054788915351989154,0.18575807109998935,0.1397062885067511,0.0,0.2701238111780872,0.1168544941940125,0.12251413870762749,0.07925375085501915,0.14304296727145502
Mannering,0.15161276646450683,0.13484857593311342,0.02232742306226717,0.10840775530647938,0.2701238111780872,0.0,0.1930194531028016,0.40481421528155676,0.5342169535354527,0.11353324514471404
Sampson,0.1835589150451103,0.103933267827091,0.040519881154701676,0.1843393449489097,0.1168544941940125,0.1930194531028016,0.0,0.2859809811847406,0.3505989403560541,0.19206609133513614
Lucy,0.14788085345333268,0.04389270607768913,0.07666071194187316,0.13968662680443408,0.12251413870762749,0.40481421528155676,0.2859809811847406,0.0,0.2921048670935763,0.31445314352634146
Julia,0.27371625014347145,0.038432834288554193,0.07665063576882039,0.09859768460792369,0.07925375085501915,0.5342169535354527,0.3505989403560541,0.2921048670935763,0.0,0.5782503346495425
Ellangowan,0.07955901718447363,0.04527765053480226,0.016843985029129562,0.1141747167781702,0.14304296727145502,0.11353324514471404,0.19206609133513614,0.31445314352634146,0.5782503346495425,0.0
