,Tressilian,Queen,Earl,Lambourne,Leicester,Elizabeth,Foster,Janet,Amy,Sussex
Tressilian,0.0,0.3086808821353876,0.14142121168576657,0.10909842012484104,0.10988890181971644,0.06970334449416375,0.1513317133309155,0.3127499373716762,0.01093777074860574,0.034029202082263746
Queen,0.3086808821353876,0.0,0.20342735797825123,0.3624568391910545,0.03440316020476527,0.015782056623909885,0.3617985596569821,0.6797979617775429,0.06162264840451165,0.006456949822408427
Earl,0.14142121168576657,0.20342735797825123,0.0,0.11582066143977536,0.06560632091065599,0.08614240622436843,0.13949518622767987,0.35520867286028107,0.04457153740942439,0.023785931184516693
Lambourne,0.10909842012484104,0.3624568391910545,0.11582066143977536,0.0,0.5503515686190024,0.49375083977671097,0.10936614249235205,0.25730493232605134,0.174298207903437,0.17161174079712688
Leicester,0.10988890181971644,0.03440316020476527,0.06560632091065599,0.5503515686190024,0.0,0.07512236423213986,0.5555347107835256,0.9260730765925648,0.20953685114063525,0.014119970146207847
Elizabeth,0.06970334449416375,0.015782056623909885,0.08614240622436843,0.49375083977671097,0.07512236423213986,0.0,0.5039458718119759,0.8704563927928461,0.14132192177448183,0.018261573063874357
Foster,0.1513317133309155,0.3617985596569821,0.13949518622767987,0.10936614249235205,0.5555347107835256,0.5039458718119759,0.0,0.45623536484829164,0.3086823714685374,0.2537431678111073
Janet,0.3127499373716762,0.6797979617775429,0.35520867286028107,0.25730493232605134,0.9260730765925648,0.8704563927928461,0.45623536484829164,0.0,0.5675965258133443,0.8651977776716682
Amy,0.01093777074860574,0.06162264840451165,0.04457153740942439,0.174298207903437,0.20953685114063525,0.14132192177448183,0.3086823714685374,0.5675965258133443,0.0,0.16923297494223505
Sussex,0.034029202082263746,0.006456949822408427,0.023785931184516693,0.17161174079712688,0.014119970146207847,0.018261573063874357,0.2537431678111073,0.8651977776716682,0.16923297494223505,0.0
