,Tressilian,Queen,Earl,Lambourne,Leicester,Elizabeth,Foster,Janet,Amy,Sussex
Tressilian,0.0,0.2723570251608385,0.1271372024255784,0.10349588796614356,0.09605192363854394,0.06150011328133074,0.13902361493872398,0.3023489029200892,0.009870600977780242,0.02898856406512649
Queen,0.2723570251608385,0.0,0.18776281677093953,0.3353608470795233,0.03132741795204938,0.01486186531513227,0.3352877602078062,0.636209661542846,0.05722873274502692,0.005654768606964693
Earl,0.1271372024255784,0.18776281677093953,0.0,0.10970794530740845,0.05681084283041445,0.07461120090563682,0.13443411842505573,0.3355790375300948,0.039886189639845276,0.020389046831913636
Lambourne,0.10349588796614356,0.3353608470795233,0.10970794530740845,0.0,0.49702613107586224,0.44661077308403585,0.09972881396873023,0.24455280864383014,0.15103559683974555,0.146705511645334
Leicester,0.09605192363854394,0.03132741795204938,0.05681084283041445,0.49702613107586224,0.0,0.06629306086276607,0.5051363637124018,0.8503257334943275,0.18928147672728768,0.012530476848873772
Elizabeth,0.06150011328133074,0.01486186531513227,0.07461120090563682,0.44661077308403585,0.06629306086276607,0.0,0.46015701721885705,0.802078167905349,0.12898384583463593,0.015717948830477627
Foster,0.13902361493872398,0.3352877602078062,0.13443411842505573,0.09972881396873023,0.5051363637124018,0.46015701721885705,0.0,0.4179389495119896,0.27125289794853846,0.2176276119832163
Janet,0.3023489029200892,0.636209661542846,0.3355790375300948,0.24455280864383014,0.8503257334943275,0.802078167905349,0.4179389495119896,0.0,0.522497772058782,0.7778843964338075
Amy,0.009870600977780242,0.05722873274502692,0.039886189639845276,0.15103559683974555,0.18928147672728768,0.12898384583463593,0.27125289794853846,0.522497772058782,0.0,0.14610497435272757
Sussex,0.02898856406512649,0.005654768606964693,0.020389046831913636,0.146705511645334,0.012530476848873772,0.015717948830477627,0.2176276119832163,0.7778843964338075,0.14610497435272757,0.0
