,Tressilian,Queen,Earl,Lambourne,Leicester,Elizabeth,Foster,Janet,Amy,Sussex
Tressilian,0.0,0.3467783370662476,0.15681073554776132,0.11471864975013285,0.12479168218730595,0.07860991732498818,0.16392067365692786,0.3212384433578188,0.012048926067389651,0.03957865704692583
Queen,0.3467783370662476,0.0,0.21907669487742926,0.3889518933762075,0.037649391090323045,0.01675259061835877,0.38731161767961003,0.7211356471114019,0.06590245638803725,0.007322401113572282
Earl,0.15681073554776132,0.21907669487742926,0.0,0.12164426775253231,0.07509965232340136,0.09859548075291039,0.14412228827534154,0.37314991616190935,0.04941615470084206,0.02748307709066993
Lambourne,0.11471864975013285,0.3889518933762075,0.12164426775253231,0.0,0.604564870189892,0.541526178823976,0.1196084816746213,0.2689746490641073,0.19937201731650603,0.19884502034902118
Leicester,0.12479168218730595,0.037649391090323045,0.07509965232340136,0.604564870189892,0.0,0.0844716739102328,0.6061242107059034,1.0013123784183438,0.23013614471764188,0.015786135353688023
Elizabeth,0.07860991732498818,0.01675259061835877,0.09859548075291039,0.541526178823976,0.0844716739102328,0.0,0.5476105892939667,0.9380001976443408,0.15362443380911817,0.021020232001958072
Foster,0.16392067365692786,0.38731161767961003,0.14412228827534154,0.1196084816746213,0.6061242107059034,0.5476105892939667,0.0,0.4956038056289802,0.34846593909653506,0.2931466300445834
Janet,0.3212384433578188,0.7211356471114019,0.37314991616190935,0.2689746490641073,1.0013123784183438,0.9380001976443408,0.4956038056289802,0.0,0.6115136881988472,0.9540271965140301
Amy,0.012048926067389651,0.06590245638803725,0.04941615470084206,0.19937201731650603,0.23013614471764188,0.15362443380911817,0.34846593909653506,0.6115136881988472,0.0,0.19409043288820202
Sussex,0.03957865704692583,0.007322401113572282,0.02748307709066993,0.19884502034902118,0.015786135353688023,0.021020232001958072,0.2931466300445834,0.9540271965140301,0.19409043288820202,0.0
