,Rashleigh,Andrew,Bailie,Owen,Jarvie,Vernon,Osbaldistone,Morris,Miss Vernon,Rob
Rashleigh,0.0,0.1955045445297937,0.07415952232856013,0.4040957063575305,0.12743661451900162,0.020700380616028885,0.0461386750187695,0.047390978022400984,0.013513464064476139,0.030440801458241296
Andrew,0.1955045445297937,0.0,0.2504709842277577,0.7432173616657365,0.43067355165138166,0.14893441181136322,0.11718068532936257,0.15277985194308658,0.10367394699593582,0.07232624644760492
Bailie,0.07415952232856013,0.2504709842277577,0.0,0.533794377381548,0.2052680980156828,0.07842480684123229,0.0868368590021531,0.03960406964063482,0.04976544343618385,0.06728632634525689
Owen,0.4040957063575305,0.7432173616657365,0.533794377381548,0.0,0.21583390484654869,0.6111041515960443,0.19966328498629438,0.3890444299039041,0.35550024096699057,0.23362638139122327
Jarvie,0.12743661451900162,0.43067355165138166,0.2052680980156828,0.21583390484654869,0.0,0.4764595676855157,0.10527532167853895,0.15228224471729343,0.18159708801285446,0.05087314093479334
Vernon,0.020700380616028885,0.14893441181136322,0.07842480684123229,0.6111041515960443,0.4764595676855157,0.0,0.20841313369408504,0.10990589276779184,0.021050458867287077,0.08426184864140097
Osbaldistone,0.0461386750187695,0.11718068532936257,0.0868368590021531,0.19966328498629438,0.10527532167853895,0.20841313369408504,0.0,0.20454036924419125,0.1563757182252903,0.11962415703323956
Morris,0.047390978022400984,0.15277985194308658,0.03960406964063482,0.3890444299039041,0.15228224471729343,0.10990589276779184,0.20454036924419125,0.0,0.15339859680774304,0.12828174664953204
Miss Vernon,0.013513464064476139,0.10367394699593582,0.04976544343618385,0.35550024096699057,0.18159708801285446,0.021050458867287077,0.1563757182252903,0.15339859680774304,0.0,0.1722367292516288
Rob,0.030440801458241296,0.07232624644760492,0.06728632634525689,0.23362638139122327,0.05087314093479334,0.08426184864140097,0.11962415703323956,0.12828174664953204,0.1722367292516288,0.0
