,Rashleigh,Andrew,Bailie,Owen,Jarvie,Vernon,Osbaldistone,Morris,Miss Vernon,Rob
Rashleigh,0.0,0.17012218760149403,0.06869544896184893,0.3967731757817652,0.12333749698406873,0.01833997514186534,0.04749022757159242,0.04279953765466765,0.011902280263488805,0.028643184047842125
Andrew,0.17012218760149403,0.0,0.22278848717996133,0.6993987468372752,0.3961072967407975,0.1304049856458835,0.11472294976955627,0.13755689981159813,0.09251507208847193,0.06739218454111774
Bailie,0.06869544896184893,0.22278848717996133,0.0,0.5129732080697427,0.19501905766833014,0.0697920788492199,0.08174448019655595,0.0357249051811436,0.04366123451494714,0.06279777951119293
Owen,0.3967731757817652,0.6993987468372752,0.5129732080697427,0.0,0.20848878456092212,0.5782235668465787,0.1888150671965595,0.3622859876137259,0.33411763673695166,0.2155167215716976
Jarvie,0.12333749698406873,0.3961072967407975,0.19501905766833014,0.20848878456092212,0.0,0.4387904011323419,0.0938552972181353,0.13865997871455993,0.16402884026177522,0.045531233505540614
Vernon,0.01833997514186534,0.1304049856458835,0.0697920788492199,0.5782235668465787,0.4387904011323419,0.0,0.19962145630492784,0.10029428176080446,0.01917085131530942,0.07942120251143316
Osbaldistone,0.04749022757159242,0.11472294976955627,0.08174448019655595,0.1888150671965595,0.0938552972181353,0.19962145630492784,0.0,0.184772399671633,0.14312441198774992,0.10697182681481765
Morris,0.04279953765466765,0.13755689981159813,0.0357249051811436,0.3622859876137259,0.13865997871455993,0.10029428176080446,0.184772399671633,0.0,0.13573058357357953,0.11853016818920299
Miss Vernon,0.011902280263488805,0.09251507208847193,0.04366123451494714,0.33411763673695166,0.16402884026177522,0.01917085131530942,0.14312441198774992,0.13573058357357953,0.0,0.1579963018126686
Rob,0.028643184047842125,0.06739218454111774,0.06279777951119293,0.2155167215716976,0.045531233505540614,0.07942120251143316,0.10697182681481765,0.11853016818920299,0.1579963018126686,0.0
