,Rashleigh,Andrew,Bailie,Owen,Jarvie,Vernon,Osbaldistone,Morris,Miss Vernon,Rob
Rashleigh,0.0,0.22274619162461334,0.07959106522819201,0.40932026808421706,0.13085945271370775,0.023179797778399805,0.04471534088330284,0.051987391664888985,0.015216902262940483,0.032134510945509426
Andrew,0.22274619162461334,0.0,0.2795499254979784,0.7861918866235693,0.46523406654482546,0.1685909646241293,0.11916135937755415,0.16835188130201018,0.1152068521467369,0.07711988666046501
Bailie,0.07959106522819201,0.2795499254979784,0.0,0.5526226406584899,0.21433840052691902,0.08737694172419318,0.0921114648544633,0.04359103384135442,0.056272292099903566,0.07148265363373987
Owen,0.40932026808421706,0.7861918866235693,0.5526226406584899,0.0,0.22256103251773285,0.6418699498623507,0.20969270665399442,0.41510753688408353,0.3754503429279538,0.25185289357560026
Jarvie,0.13085945271370775,0.46523406654482546,0.21433840052691902,0.22256103251773285,0.0,0.5137006281173165,0.11741110889929297,0.16581128330976463,0.19928397096884967,0.05641279661672596
Vernon,0.023179797778399805,0.1685909646241293,0.08737694172419318,0.6418699498623507,0.5137006281173165,0.0,0.21644877413570962,0.11950469483848813,0.022974637611396048,0.08876638923214014
Osbaldistone,0.04471534088330284,0.11916135937755415,0.0921114648544633,0.20969270665399442,0.11741110889929297,0.21644877413570962,0.0,0.22495252125757592,0.16961448506666282,0.13286155928101334
Morris,0.051987391664888985,0.16835188130201018,0.04359103384135442,0.41510753688408353,0.16581128330976463,0.11950469483848813,0.22495252125757592,0.0,0.17189615248155238,0.13772301991007274
Miss Vernon,0.015216902262940483,0.1152068521467369,0.056272292099903566,0.3754503429279538,0.19928397096884967,0.022974637611396048,0.16961448506666282,0.17189615248155238,0.0,0.1863437743615965
Rob,0.032134510945509426,0.07711988666046501,0.07148265363373987,0.25185289357560026,0.05641279661672596,0.08876638923214014,0.13286155928101334,0.13772301991007274,0.1863437743615965,0.0
