,Douglas,Ellen,Roderick,Roderick Dhu,Allan,Malcolm,Saxon,Loch Katrine,Alpine,Malcolm Graeme
Douglas,0.0,0.12382450174888973,0.09842318748973967,0.07329435849247742,0.1311570206236902,0.03107084560750332,0.047447149346117885,0.0849060839465621,0.134865766017831,0.014828004010983165
Ellen,0.12382450174888973,0.0,0.14936064029828156,0.08855931227963951,0.04752556521459571,0.039528508038724125,0.11758663935618088,0.04402430650294848,0.059841065377601,0.02970839888901531
Roderick,0.09842318748973967,0.14936064029828156,0.0,0.0680874001604905,0.04529183515373181,0.052650283086278116,0.036949707926518596,0.04758398177883459,0.08961764341699507,0.03184866577474397
Roderick Dhu,0.07329435849247742,0.08855931227963951,0.0680874001604905,0.0,0.21223746038043653,0.16725088067188135,0.06855704265300981,0.17363502862343072,0.22870499170356887,0.10240995961069606
Allan,0.1311570206236902,0.04752556521459571,0.04529183515373181,0.21223746038043653,0.0,0.349851270728439,0.23293711967295183,0.133742424526906,0.2155143230864706,0.13718971989152406
Malcolm,0.03107084560750332,0.039528508038724125,0.052650283086278116,0.16725088067188135,0.349851270728439,0.0,0.2800849405628614,0.2895241933329032,0.2971122604003108,0.06975861966507903
Saxon,0.047447149346117885,0.11758663935618088,0.036949707926518596,0.06855704265300981,0.23293711967295183,0.2800849405628614,0.0,0.3636335265367969,0.4077875461728769,0.13233118665544324
Loch Katrine,0.0849060839465621,0.04402430650294848,0.04758398177883459,0.17363502862343072,0.133742424526906,0.2895241933329032,0.3636335265367969,0.0,0.22040111304626328,0.38177499898241585
Alpine,0.134865766017831,0.059841065377601,0.08961764341699507,0.22870499170356887,0.2155143230864706,0.2971122604003108,0.4077875461728769,0.22040111304626328,0.0,0.3569297824378502
Malcolm Graeme,0.014828004010983165,0.02970839888901531,0.03184866577474397,0.10240995961069606,0.13718971989152406,0.06975861966507903,0.13233118665544324,0.38177499898241585,0.3569297824378502,0.0
