,Douglas,Ellen,Roderick,Roderick Dhu,Allan,Malcolm,Saxon,Loch Katrine,Alpine,Malcolm Graeme
Douglas,0.0,0.14887636876683175,0.11374497795261607,0.08954520141255005,0.15611056289831893,0.033640243636849615,0.05784701391200748,0.09481087562702388,0.171980853498976,0.0177081073412558
Ellen,0.14887636876683175,0.0,0.1890708686098165,0.10933396941550344,0.0578107162422064,0.05065221907872928,0.1488216874504719,0.05807584147671977,0.077578745672279,0.03587564577222105
Roderick,0.11374497795261607,0.1890708686098165,0.0,0.08129161447260495,0.049303416505457706,0.06822775311262663,0.041454644025607675,0.06020928067569288,0.12019023456178297,0.041129605250957074
Roderick Dhu,0.08954520141255005,0.10933396941550344,0.08129161447260495,0.0,0.24317012503156218,0.2053588388284346,0.08623375453669514,0.2183118212305608,0.3002966076877264,0.13131668683584993
Allan,0.15611056289831893,0.0578107162422064,0.049303416505457706,0.24317012503156218,0.0,0.41767371929237235,0.287549997913691,0.1799049483759162,0.2828557032194119,0.18202780187338405
Malcolm,0.033640243636849615,0.05065221907872928,0.06822775311262663,0.2053588388284346,0.41767371929237235,0.0,0.3482226256269449,0.35459544605181653,0.3787739354192923,0.08216511201907842
Saxon,0.05784701391200748,0.1488216874504719,0.041454644025607675,0.08623375453669514,0.287549997913691,0.3482226256269449,0.0,0.4656167918716877,0.5310016613870953,0.16615022976290209
Loch Katrine,0.09481087562702388,0.05807584147671977,0.06020928067569288,0.2183118212305608,0.1799049483759162,0.35459544605181653,0.4656167918716877,0.0,0.2716707227614958,0.4937227839947768
Alpine,0.171980853498976,0.077578745672279,0.12019023456178297,0.3002966076877264,0.2828557032194119,0.3787739354192923,0.5310016613870953,0.2716707227614958,0.0,0.45822335269883624
Malcolm Graeme,0.0177081073412558,0.03587564577222105,0.041129605250957074,0.13131668683584993,0.18202780187338405,0.08216511201907842,0.16615022976290209,0.4937227839947768,0.45822335269883624,0.0
