,Halbert,Edward,Abbot,Piercie Shafton,Halbert Glendinning,Eustace,Mary Avenel,Piercie,Martin,Mary
Halbert,0.0,0.11414417772513127,0.08279677405282912,0.09741192393956852,0.010701013888169249,0.11729603044460257,0.02848015664296103,0.030615507240611663,0.053661853343175095,0.03178613868258372
Edward,0.11414417772513127,0.0,0.1946721625198265,0.21048130124581968,0.1265939171609065,0.0555412336959164,0.03174826627535394,0.04051092916359637,0.11923399352624937,0.02823430112189743
Abbot,0.08279677405282912,0.1946721625198265,0.0,0.31932203234452544,0.2054442471206834,0.10481674895136729,0.0695135736606452,0.07387262733852963,0.15624862797444095,0.06964995156882785
Piercie Shafton,0.09741192393956852,0.21048130124581968,0.31932203234452544,0.0,0.07468652583078916,0.13469847113994882,0.06831013228904695,0.009850661178634586,0.12333946232804563,0.058066413485490874
Halbert Glendinning,0.010701013888169249,0.1265939171609065,0.2054442471206834,0.07468652583078916,0.0,0.3285033613705375,0.19298449261205677,0.08555644445623098,0.15499527802210264,0.11214873485533429
Eustace,0.11729603044460257,0.0555412336959164,0.10481674895136729,0.13469847113994882,0.3285033613705375,0.0,0.21798139864837984,0.28974555902205773,0.2583523022773046,0.119542325832354
Mary Avenel,0.02848015664296103,0.03174826627535394,0.0695135736606452,0.06831013228904695,0.19298449261205677,0.21798139864837984,0.0,0.09224452752543734,0.21997293518440758,0.04619361435363416
Piercie,0.030615507240611663,0.04051092916359637,0.07387262733852963,0.009850661178634586,0.08555644445623098,0.28974555902205773,0.09224452752543734,0.0,0.2554395564729403,0.1602651903385173
Martin,0.053661853343175095,0.11923399352624937,0.15624862797444095,0.12333946232804563,0.15499527802210264,0.2583523022773046,0.21997293518440758,0.2554395564729403,0.0,0.23627847572032465
Mary,0.03178613868258372,0.02823430112189743,0.06964995156882785,0.058066413485490874,0.11214873485533429,0.119542325832354,0.04619361435363416,0.1602651903385173,0.23627847572032465,0.0
