,Halbert,Edward,Abbot,Piercie Shafton,Halbert Glendinning,Eustace,Mary Avenel,Piercie,Martin,Mary
Halbert,0.0,0.0991437954190364,0.07194035639171811,0.08592926029296281,0.009714215742536022,0.10396937112243786,0.025151457317241176,0.026757537636001284,0.0495642838120752,0.027937454764899818
Edward,0.0991437954190364,0.0,0.16823881019035714,0.1904411293497394,0.11917094982546458,0.04938316963055984,0.028367532140211697,0.03797989848352211,0.10754412796899243,0.025191714560805947
Abbot,0.07194035639171811,0.16823881019035714,0.0,0.2874872950566358,0.19097834890455315,0.09191417199435623,0.06653618691371896,0.0704487387198775,0.14237740284519534,0.06363069747152299
Piercie Shafton,0.08592926029296281,0.1904411293497394,0.2874872950566358,0.0,0.0678581009627604,0.11665145702622967,0.059767634142859016,0.008877136492015806,0.11196885960467153,0.051006902389673404
Halbert Glendinning,0.009714215742536022,0.11917094982546458,0.19097834890455315,0.0678581009627604,0.0,0.30226902089716257,0.177428349767315,0.07474912260713237,0.14111809935247663,0.09755524550455683
Eustace,0.10396937112243786,0.04938316963055984,0.09191417199435623,0.11665145702622967,0.30226902089716257,0.0,0.19798280103646032,0.26433589452024364,0.22973387703851592,0.10662402980078318
Mary Avenel,0.025151457317241176,0.028367532140211697,0.06653618691371896,0.059767634142859016,0.177428349767315,0.19798280103646032,0.0,0.0837459829365556,0.20080058424909927,0.04073441887389204
Piercie,0.026757537636001284,0.03797989848352211,0.0704487387198775,0.008877136492015806,0.07474912260713237,0.26433589452024364,0.0837459829365556,0.0,0.23687720904210094,0.14187287703401802
Martin,0.0495642838120752,0.10754412796899243,0.14237740284519534,0.11196885960467153,0.14111809935247663,0.22973387703851592,0.20080058424909927,0.23687720904210094,0.0,0.21112369558215055
Mary,0.027937454764899818,0.025191714560805947,0.06363069747152299,0.051006902389673404,0.09755524550455683,0.10662402980078318,0.04073441887389204,0.14187287703401802,0.21112369558215055,0.0
