,Halbert,Edward,Abbot,Piercie Shafton,Halbert Glendinning,Eustace,Mary Avenel,Piercie,Martin,Mary
Halbert,0.0,0.13017794715290726,0.09450918950970802,0.10955296128931252,0.011739162674100467,0.13108031329295528,0.031978943067145285,0.03481761939864685,0.05756442978811635,0.03582432909983459
Edward,0.13017794715290726,0.0,0.22367534661436342,0.23135772127079637,0.13377670463420932,0.06193630303484695,0.03540373964148773,0.04333817473290289,0.13107645996334694,0.03140340025403882
Abbot,0.09450918950970802,0.22367534661436342,0.0,0.3522187391202348,0.21927124409616977,0.11856617469658609,0.0725553354651528,0.07713717442432283,0.16987777614074537,0.07581674864158251
Piercie Shafton,0.10955296128931252,0.23135772127079637,0.3522187391202348,0.0,0.081679749723242,0.15408538592760573,0.0774905093957882,0.010905615423890085,0.1347161450348344,0.06556179298252524
Halbert Glendinning,0.011739162674100467,0.13377670463420932,0.21927124409616977,0.081679749723242,0.0,0.35443966560204687,0.20838383217675333,0.09723889863290808,0.16908838641882562,0.1277714501372926
Eustace,0.13108031329295528,0.06193630303484695,0.11856617469658609,0.15408538592760573,0.35443966560204687,0.0,0.2383378528016082,0.3159178826820128,0.2880766476678732,0.1331569858546178
Mary Avenel,0.031978943067145285,0.03540373964148773,0.0725553354651528,0.0774905093957882,0.20838383217675333,0.2383378528016082,0.0,0.10147513887992382,0.23930494040739678,0.051969024043838824
Piercie,0.03481761939864685,0.04333817473290289,0.07713717442432283,0.010905615423890085,0.09723889863290808,0.3159178826820128,0.10147513887992382,0.0,0.27390847192899703,0.17980872859663669
Martin,0.05756442978811635,0.13107645996334694,0.16987777614074537,0.1347161450348344,0.16908838641882562,0.2880766476678732,0.23930494040739678,0.27390847192899703,0.0,0.26240721299997666
Mary,0.03582432909983459,0.03140340025403882,0.07581674864158251,0.06556179298252524,0.1277714501372926,0.1331569858546178,0.051969024043838824,0.17980872859663669,0.26240721299997666,0.0
