,Richard,Kenneth,Saladin,De Vaux,Queen,Saracen,Marquis,Edith,Thou,Blondel
Richard,0.0,0.025385102618956098,0.006524757123767555,0.004737784817419331,0.01573343700584716,0.00378555317339671,0.007808361774230426,0.00556082502836962,0.003786769180969038,0.02130176465034882
Kenneth,0.025385102618956098,0.0,0.06807661285468358,0.05863914284338461,0.08393727529655369,0.10906101354474355,0.10194867170476846,0.06750817718692097,0.02376127436620775,0.17329083751670338
Saladin,0.006524757123767555,0.06807661285468358,0.0,0.1726853667177442,0.23141546264213364,0.3841709923096034,0.06765848652292727,0.07491764732717346,0.07709894155052882,0.09843037294561839
De Vaux,0.004737784817419331,0.05863914284338461,0.1726853667177442,0.0,0.23151708153375833,0.3106906947330943,0.07080833468766173,0.11504441880460478,0.07482915397610763,0.11460754888412837
Queen,0.01573343700584716,0.08393727529655369,0.23141546264213364,0.23151708153375833,0.0,0.2098022552806041,0.36956086652942804,0.03306134827962802,0.17096132573036757,0.2321301511208771
Saracen,0.00378555317339671,0.10906101354474355,0.3841709923096034,0.3106906947330943,0.2098022552806041,0.0,0.9322557393429401,0.6986028399396049,0.2986621241487795,0.8622663823052159
Marquis,0.007808361774230426,0.10194867170476846,0.06765848652292727,0.07080833468766173,0.36956086652942804,0.9322557393429401,0.0,0.31578313764475474,0.3684129143409002,0.06496753096580882
Edith,0.00556082502836962,0.06750817718692097,0.07491764732717346,0.11504441880460478,0.03306134827962802,0.6986028399396049,0.31578313764475474,0.0,0.22361694642744878,0.25411098079989963
Thou,0.003786769180969038,0.02376127436620775,0.07709894155052882,0.07482915397610763,0.17096132573036757,0.2986621241487795,0.3684129143409002,0.22361694642744878,0.0,0.5151048012606183
Blondel,0.02130176465034882,0.17329083751670338,0.09843037294561839,0.11460754888412837,0.2321301511208771,0.8622663823052159,0.06496753096580882,0.25411098079989963,0.5151048012606183,0.0
