,Richard,Kenneth,Saladin,De Vaux,Queen,Saracen,Marquis,Edith,Thou,Blondel
Richard,0.0,0.02240151227997062,0.006018707305584973,0.004315130542085491,0.01584907817571379,0.0037275166142094317,0.0066568297389689515,0.0049695297841636,0.0034428599746430697,0.018211822980468428
Kenneth,0.02240151227997062,0.0,0.06001536167839652,0.05041005352582289,0.08247566183200859,0.10454438187323561,0.08738430367883215,0.06163031443539262,0.02255782210845405,0.14770360072999397
Saladin,0.006018707305584973,0.06001536167839652,0.0,0.15380529332599507,0.22209281728539632,0.3587383436938899,0.058622789264517125,0.07223294920096024,0.07215187284377077,0.08386367133273158
De Vaux,0.004315130542085491,0.05041005352582289,0.15380529332599507,0.0,0.21593289405186522,0.28972625690650866,0.06112408396130378,0.10455538381279918,0.0719937482185506,0.0978360112018784
Queen,0.01584907817571379,0.08247566183200859,0.22209281728539632,0.21593289405186522,0.0,0.1938334266515524,0.3338770447626779,0.028871141136187474,0.1523048375488613,0.19779338644905547
Saracen,0.0037275166142094317,0.10454438187323561,0.3587383436938899,0.28972625690650866,0.1938334266515524,0.0,0.8397396665060004,0.6193376252348397,0.26910166316940715,0.7674712983693349
Marquis,0.0066568297389689515,0.08738430367883215,0.058622789264517125,0.06112408396130378,0.3338770447626779,0.8397396665060004,0.0,0.2865774204544194,0.3330131368014494,0.05605472517711458
Edith,0.0049695297841636,0.06163031443539262,0.07223294920096024,0.10455538381279918,0.028871141136187474,0.6193376252348397,0.2865774204544194,0.0,0.19880291949358664,0.21728722309414725
Thou,0.0034428599746430697,0.02255782210845405,0.07215187284377077,0.0719937482185506,0.1523048375488613,0.26910166316940715,0.3330131368014494,0.19880291949358664,0.0,0.45509388267661127
Blondel,0.018211822980468428,0.14770360072999397,0.08386367133273158,0.0978360112018784,0.19779338644905547,0.7674712983693349,0.05605472517711458,0.21728722309414725,0.45509388267661127,0.0
