,Richard,Kenneth,Saladin,De Vaux,Queen,Saracen,Marquis,Edith,Thou,Blondel
Richard,0.0,0.02854661489814679,0.007186108721754483,0.005188110106118424,0.015501335433766347,0.003819959228144704,0.009078883915343382,0.0061970961033991166,0.00416401806283438,0.024668676899010658
Kenneth,0.02854661489814679,0.0,0.07711102841936442,0.0677010862403742,0.08520139648125805,0.11291039739689854,0.11781227240256456,0.07369497097959356,0.024947531490967408,0.20133123990910082
Saladin,0.007186108721754483,0.07711102841936442,0.0,0.19348651269581407,0.2403019734935873,0.4094519424472415,0.07745342957377148,0.07753179070319903,0.08177624652398502,0.11437697144280738
De Vaux,0.005188110106118424,0.0677010862403742,0.19348651269581407,0.0,0.24681304974616716,0.33056191344170577,0.08138977026484819,0.12634245085678378,0.0774777416654295,0.132959914417615
Queen,0.015501335433766347,0.08520139648125805,0.2403019734935873,0.24681304974616716,0.0,0.22573577747182455,0.40609486375949744,0.03756935918821046,0.19065086162369788,0.2698010978794196
Saracen,0.003819959228144704,0.11291039739689854,0.4094519424472415,0.33056191344170577,0.22573577747182455,0.0,1.026553583474089,0.7813767845824031,0.3286439902872476,0.9600426957053019
Marquis,0.009078883915343382,0.11781227240256456,0.07745342957377148,0.08138977026484819,0.40609486375949744,1.026553583474089,0.0,0.3456809588331264,0.4044020094097088,0.07465905106819873
Edith,0.0061970961033991166,0.07369497097959356,0.07753179070319903,0.12634245085678378,0.03756935918821046,0.7813767845824031,0.3456809588331264,0.0,0.25003812823080923,0.2943527114332651
Thou,0.00416401806283438,0.024947531490967408,0.08177624652398502,0.0774777416654295,0.19065086162369788,0.3286439902872476,0.4044020094097088,0.25003812823080923,0.0,0.5776922393972361
Blondel,0.024668676899010658,0.20133123990910082,0.11437697144280738,0.132959914417615,0.2698010978794196,0.9600426957053019,0.07465905106819873,0.2943527114332651,0.5776922393972361,0.0
