,Ham,Hor,Pol,King,Queen,Laer,Oph,Exit,Shakespeare,Ros
Ham,0.0,0.007371288248015547,0.05134608704703779,0.09288128799363318,0.0251414133528272,0.07019167041790761,0.05721859969382941,0.018395811105039003,0.021723657844744584,0.010273725805773603
Hor,0.007371288248015547,0.0,0.3472374496645814,0.3120083476753169,0.12115096629500564,0.29431475209418917,0.18551748600678192,0.08164832019153198,0.04740547011216072,0.13069161106673793
Pol,0.05134608704703779,0.3472374496645814,0.0,0.154464037063492,0.17604560713702724,0.12389767500577219,0.14967015379811072,0.08106658946400534,0.1593066073333854,0.04216461382321324
King,0.09288128799363318,0.3120083476753169,0.154464037063492,0.0,0.16986032548137317,0.0718726693166208,0.09760205969308267,0.07620835176655306,0.1260103573008562,0.06737900634770022
Queen,0.0251414133528272,0.12115096629500564,0.17604560713702724,0.16986032548137317,0.0,0.2745115219850405,0.13820445542706047,0.06419043467700664,0.12397663101465117,0.08149092885411098
Laer,0.07019167041790761,0.29431475209418917,0.12389767500577219,0.0718726693166208,0.2745115219850405,0.0,0.2624687295278116,0.21944856481120048,0.17102818330861114,0.1773189824462367
Oph,0.05721859969382941,0.18551748600678192,0.14967015379811072,0.09760205969308267,0.13820445542706047,0.2624687295278116,0.0,0.11376603690113724,0.13571967626928982,0.15300614952227098
Exit,0.018395811105039003,0.08164832019153198,0.08106658946400534,0.07620835176655306,0.06419043467700664,0.21944856481120048,0.11376603690113724,0.0,0.15157246207093972,0.10312986061483209
Shakespeare,0.021723657844744584,0.04740547011216072,0.1593066073333854,0.1260103573008562,0.12397663101465117,0.17102818330861114,0.13571967626928982,0.15157246207093972,0.0,0.23575295615462685
Ros,0.010273725805773603,0.13069161106673793,0.04216461382321324,0.06737900634770022,0.08149092885411098,0.1773189824462367,0.15300614952227098,0.10312986061483209,0.23575295615462685,0.0
