,Ham,Hor,Pol,King,Queen,Laer,Oph,Exit,Shakespeare,Ros
Ham,0.0,0.007170212992534945,0.04589043668990091,0.08332802412728658,0.022573777617366435,0.06279198723833113,0.051978059075248585,0.01673348515913297,0.020118416033932062,0.009300732140934322
Hor,0.007170212992534945,0.0,0.32043426455809265,0.29027289185019317,0.11154225473060474,0.2675619454896473,0.16832094042218304,0.0743528514190524,0.044024096524468766,0.11657190943856992
Pol,0.04589043668990091,0.32043426455809265,0.0,0.13928984818480086,0.16381616163774768,0.10881438810874879,0.13441702543223535,0.07493608599649917,0.14876347043880198,0.03932156383212915
King,0.08332802412728658,0.29027289185019317,0.13928984818480086,0.0,0.16258422612023324,0.06607703938691141,0.09212449790230423,0.07291263002091261,0.11946791138697842,0.061688306433599065
Queen,0.022573777617366435,0.11154225473060474,0.16381616163774768,0.16258422612023324,0.0,0.2531730539248817,0.12767612848148946,0.05952916840884243,0.11596238051456957,0.07524648203497691
Laer,0.06279198723833113,0.2675619454896473,0.10881438810874879,0.06607703938691141,0.2531730539248817,0.0,0.24373811351493582,0.20742915865289155,0.15914167607378754,0.168437100221829
Oph,0.051978059075248585,0.16832094042218304,0.13441702543223535,0.09212449790230423,0.12767612848148946,0.24373811351493582,0.0,0.10430383675116735,0.12278079725091277,0.1428480514326878
Exit,0.01673348515913297,0.0743528514190524,0.07493608599649917,0.07291263002091261,0.05952916840884243,0.20742915865289155,0.10430383675116735,0.0,0.1403014613203002,0.09218106335372633
Shakespeare,0.020118416033932062,0.044024096524468766,0.14876347043880198,0.11946791138697842,0.11596238051456957,0.15914167607378754,0.12278079725091277,0.1403014613203002,0.0,0.21991221928663762
Ros,0.009300732140934322,0.11657190943856992,0.03932156383212915,0.061688306433599065,0.07524648203497691,0.168437100221829,0.1428480514326878,0.09218106335372633,0.21991221928663762,0.0
