,Ham,Hor,Pol,King,Queen,Laer,Oph,Exit,Shakespeare,Ros
Ham,0.0,0.007543168583212977,0.05694777557961758,0.1026462791822875,0.02776018013711099,0.07773596037769076,0.062433700094978485,0.020076547494367235,0.02326376211822766,0.011303569713389422
Hor,0.007543168583212977,0.0,0.3733480554744913,0.33287659929551017,0.13071278283422236,0.3208628628097165,0.20331977438319412,0.08912051251926402,0.05084347236393917,0.14564365199287524
Pol,0.05694777557961758,0.3733480554744913,0.0,0.17007501444869194,0.18801755090542932,0.13976761271153149,0.1658853982723291,0.08752071985427265,0.16940040978542956,0.04504248884317066
King,0.1026462791822875,0.33287659929551017,0.17007501444869194,0.0,0.17639712439797356,0.07778514035968734,0.10319908340122538,0.07985881706484914,0.13196952317995778,0.07328884641533093
Queen,0.02776018013711099,0.13071278283422236,0.18801755090542932,0.17639712439797356,0.0,0.29531470773521484,0.1492797972285699,0.06910933471147392,0.1315148960950363,0.08794818449558858
Laer,0.07773596037769076,0.3208628628097165,0.13976761271153149,0.07778514035968734,0.29531470773521484,0.0,0.2813237433807045,0.2308802459865467,0.1826008691664867,0.1859576655188254
Oph,0.062433700094978485,0.20331977438319412,0.1658853982723291,0.10319908340122538,0.1492797972285699,0.2813237433807045,0.0,0.12393236754158975,0.14884687346025888,0.1635766351905764
Exit,0.020076547494367235,0.08912051251926402,0.08752071985427265,0.07985881706484914,0.06910933471147392,0.2308802459865467,0.12393236754158975,0.0,0.16256195646652377,0.11479308690249952
Shakespeare,0.02326376211822766,0.05084347236393917,0.16940040978542956,0.13196952317995778,0.1315148960950363,0.1826008691664867,0.14884687346025888,0.16256195646652377,0.0,0.25135557285349647
Ros,0.011303569713389422,0.14564365199287524,0.04504248884317066,0.07328884641533093,0.08794818449558858,0.1859576655188254,0.1635766351905764,0.11479308690249952,0.25135557285349647,0.0
