,BRUTUS,Brutus,Mark Antony,Messala,Lucius,Octavius,Cassius,Antony,Thou,Exit
BRUTUS,0.0,0.04790725080839529,0.009273174769123555,0.01098024481617003,0.004670166114886429,0.022577612243712627,0.011561760093478056,0.01006972966918078,0.018732476357933743,0.020374946538041158
Brutus,0.04790725080839529,0.0,0.01952512415054889,0.028953487105767575,0.01453868269733403,0.02666877214381135,0.009405461086682457,0.02475543275334181,0.01929382692581859,0.01486242455923588
Mark Antony,0.009273174769123555,0.01952512415054889,0.0,0.5774988020561074,0.2764255532322704,0.12240626996573155,0.08194897143384276,0.01892362407587185,0.054145083875873225,0.08862804733165423
Messala,0.01098024481617003,0.028953487105767575,0.5774988020561074,0.0,0.16215259627112735,0.25458848812220475,0.42377233172411666,0.38816415876334853,0.36652627952288164,0.1646568930285606
Lucius,0.004670166114886429,0.01453868269733403,0.2764255532322704,0.16215259627112735,0.0,0.22399009699715394,0.318499969250638,0.32219401090284516,0.38657154398137145,0.21765848500689072
Octavius,0.022577612243712627,0.02666877214381135,0.12240626996573155,0.25458848812220475,0.22399009699715394,0.0,0.16780311183542942,0.16360802031214997,0.18600009504348242,0.0833145226441097
Cassius,0.011561760093478056,0.009405461086682457,0.08194897143384276,0.42377233172411666,0.318499969250638,0.16780311183542942,0.0,0.09186207154058697,0.13954165280615885,0.14521159055267785
Antony,0.01006972966918078,0.02475543275334181,0.01892362407587185,0.38816415876334853,0.32219401090284516,0.16360802031214997,0.09186207154058697,0.0,0.1211923204866226,0.20276338925058215
Thou,0.018732476357933743,0.01929382692581859,0.054145083875873225,0.36652627952288164,0.38657154398137145,0.18600009504348242,0.13954165280615885,0.1211923204866226,0.0,0.25497196217269397
Exit,0.020374946538041158,0.01486242455923588,0.08862804733165423,0.1646568930285606,0.21765848500689072,0.0833145226441097,0.14521159055267785,0.20276338925058215,0.25497196217269397,0.0
