,BRUTUS,Brutus,Mark Antony,Messala,Lucius,Octavius,Cassius,Antony,Thou,Exit
BRUTUS,0.0,0.045396871827440365,0.009354881359307107,0.009445139812550825,0.004060622223241039,0.02067898512907154,0.01038151131278047,0.00992145605375346,0.01787770378767217,0.01785518842292714
Brutus,0.045396871827440365,0.0,0.018583985504665442,0.025513283650919587,0.012899846202049661,0.0242107232617795,0.008584969064501445,0.023825449050266335,0.019722266944380992,0.012979208217823474
Mark Antony,0.009354881359307107,0.018583985504665442,0.0,0.5377676239943446,0.251156578431985,0.11327429095094384,0.07457907814304264,0.01779474049992173,0.048574215361434435,0.07822926641171796
Messala,0.009445139812550825,0.025513283650919587,0.5377676239943446,0.0,0.14382763423888886,0.23167428336756762,0.3911698099884562,0.3682835683917715,0.35150550056185503,0.15078888555542405
Lucius,0.004060622223241039,0.012899846202049661,0.251156578431985,0.14382763423888886,0.0,0.20169238623099603,0.2964894531433106,0.30728667605605603,0.36514832479031073,0.19362664252301762
Octavius,0.02067898512907154,0.0242107232617795,0.11327429095094384,0.23167428336756762,0.20169238623099603,0.0,0.15748520067155328,0.16128597183178148,0.18263264352682174,0.0744951667664395
Cassius,0.01038151131278047,0.008584969064501445,0.07457907814304264,0.3911698099884562,0.2964894531433106,0.15748520067155328,0.0,0.08813553594884724,0.13060638382680012,0.12763008223256012
Antony,0.00992145605375346,0.023825449050266335,0.01779474049992173,0.3682835683917715,0.30728667605605603,0.16128597183178148,0.08813553594884724,0.0,0.10833402497800404,0.1827364226431511
Thou,0.01787770378767217,0.019722266944380992,0.048574215361434435,0.35150550056185503,0.36514832479031073,0.18263264352682174,0.13060638382680012,0.10833402497800404,0.0,0.24667351944259047
Exit,0.01785518842292714,0.012979208217823474,0.07822926641171796,0.15078888555542405,0.19362664252301762,0.0744951667664395,0.12763008223256012,0.1827364226431511,0.24667351944259047,0.0
