,BRUTUS,Brutus,Mark Antony,Messala,Lucius,Octavius,Cassius,Antony,Thou,Exit
BRUTUS,0.0,0.050208564916229784,0.009319067843002744,0.012639067547915266,0.005319909351193304,0.024439548114075078,0.012802855502188591,0.010243841261458945,0.01989672593260667,0.023063755168857017
Brutus,0.050208564916229784,0.0,0.02062951470843218,0.03253472497544238,0.01622755323109009,0.029117444660251516,0.010236873518115346,0.025825281450044014,0.019254553276227243,0.016873233922873238
Mark Antony,0.009319067843002744,0.02062951470843218,0.0,0.6164986385485086,0.3019305396808888,0.1312532016853008,0.08944550220406909,0.020152370040070956,0.060344366857812984,0.09949942334200246
Messala,0.012639067547915266,0.03253472497544238,0.6164986385485086,0.0,0.18104303805954947,0.27729799279451617,0.4553498653617914,0.4063303741545878,0.3799159693611276,0.17822586863823972
Lucius,0.005319909351193304,0.01622755323109009,0.3019305396808888,0.18104303805954947,0.0,0.24676715844756364,0.3394727076889695,0.3358266998681911,0.40755307217208686,0.24270823569623232
Octavius,0.024439548114075078,0.029117444660251516,0.1312532016853008,0.27729799279451617,0.24676715844756364,0.0,0.17749164739707105,0.16492037369510193,0.18872190054968954,0.09258087376004288
Cassius,0.012802855502188591,0.010236873518115346,0.08944550220406909,0.4553498653617914,0.3394727076889695,0.17749164739707105,0.0,0.09568866340568037,0.14922509807612716,0.1637042466117427
Antony,0.010243841261458945,0.025825281450044014,0.020152370040070956,0.4063303741545878,0.3358266998681911,0.16492037369510193,0.09568866340568037,0.0,0.1350984110594084,0.22346263785275164
Thou,0.01989672593260667,0.019254553276227243,0.060344366857812984,0.3799159693611276,0.40755307217208686,0.18872190054968954,0.14922509807612716,0.1350984110594084,0.0,0.262444134451625
Exit,0.023063755168857017,0.016873233922873238,0.09949942334200246,0.17822586863823972,0.24270823569623232,0.09258087376004288,0.1637042466117427,0.22346263785275164,0.262444134451625,0.0
