,KENT,Gloucester,Thou,Exit,Tis,Tom,Regan,Kent,Edgar,Goneril
KENT,0.0,0.09099906132625431,0.06876252156776161,0.0598382156658044,0.054062979436479905,0.07323151788721054,0.07900371835803477,0.026210332034096635,0.03332106730777093,0.029199831397903185
Gloucester,0.09099906132625431,0.0,0.07136455445706487,0.04150096174726354,0.12059201500606694,0.16947967519564314,0.05084559643841343,0.09142518229478577,0.04363597707070956,0.03597290769481237
Thou,0.06876252156776161,0.07136455445706487,0.0,0.10701698435672874,0.23614646766770014,0.25251286260044203,0.12186705263760436,0.12934884721005643,0.059472233806801944,0.06962419127863283
Exit,0.0598382156658044,0.04150096174726354,0.10701698435672874,0.0,0.25690247000013205,0.4198337172971032,0.13474871586394288,0.16470963431370145,0.070567262795509,0.036802537060123604
Tis,0.054062979436479905,0.12059201500606694,0.23614646766770014,0.25690247000013205,0.0,0.7294215119326127,0.12644636884756602,0.07677810471145255,0.04043209119381137,0.07127675944985763
Tom,0.07323151788721054,0.16947967519564314,0.25251286260044203,0.4198337172971032,0.7294215119326127,0.0,0.7614012707602483,0.7608096154095915,0.6243096271945965,0.33341733702354853
Regan,0.07900371835803477,0.05084559643841343,0.12186705263760436,0.13474871586394288,0.12644636884756602,0.7614012707602483,0.0,0.09635323844720775,0.09541168870462591,0.10797224755961847
Kent,0.026210332034096635,0.09142518229478577,0.12934884721005643,0.16470963431370145,0.07677810471145255,0.7608096154095915,0.09635323844720775,0.0,0.1816058680666291,0.13692229807334189
Edgar,0.03332106730777093,0.04363597707070956,0.059472233806801944,0.070567262795509,0.04043209119381137,0.6243096271945965,0.09541168870462591,0.1816058680666291,0.0,0.10432143231495589
Goneril,0.029199831397903185,0.03597290769481237,0.06962419127863283,0.036802537060123604,0.07127675944985763,0.33341733702354853,0.10797224755961847,0.13692229807334189,0.10432143231495589,0.0
