,KENT,Gloucester,Thou,Exit,Tis,Tom,Regan,Kent,Edgar,Goneril
KENT,0.0,0.08327721131001677,0.06142224459557982,0.05413712857685933,0.04728004979320655,0.07060837818187034,0.0693078075820297,0.023565540921973722,0.03028636358166192,0.026503216399778384
Gloucester,0.08327721131001677,0.0,0.06822021488126159,0.037860495015609556,0.10627700952157937,0.16855873165288976,0.04511530015544298,0.08053543644345545,0.03840815471204017,0.03363327431075905
Thou,0.06142224459557982,0.06822021488126159,0.0,0.09874824084962186,0.21246274224757902,0.2400486334155515,0.10933860022303135,0.11229911464176572,0.05189033128128527,0.061601413356397426
Exit,0.05413712857685933,0.037860495015609556,0.09874824084962186,0.0,0.232636079969973,0.396444988240496,0.11896106477382189,0.14559911301020306,0.06221701618952781,0.03593813568819607
Tis,0.04728004979320655,0.10627700952157937,0.21246274224757902,0.232636079969973,0.0,0.6775083317085756,0.1195381615851911,0.07126292315910819,0.03641876951551924,0.06889659850792143
Tom,0.07060837818187034,0.16855873165288976,0.2400486334155515,0.396444988240496,0.6775083317085756,0.0,0.6988115506328764,0.6884319476937313,0.5709825607247127,0.3035866224168459
Regan,0.0693078075820297,0.04511530015544298,0.10933860022303135,0.11896106477382189,0.1195381615851911,0.6988115506328764,0.0,0.08585899813676996,0.08519458200963359,0.09756714056123207
Kent,0.023565540921973722,0.08053543644345545,0.11229911464176572,0.14559911301020306,0.07126292315910819,0.6884319476937313,0.08585899813676996,0.0,0.16113987469240323,0.12603706919757662
Edgar,0.03028636358166192,0.03840815471204017,0.05189033128128527,0.06221701618952781,0.03641876951551924,0.5709825607247127,0.08519458200963359,0.16113987469240323,0.0,0.09883727990988891
Goneril,0.026503216399778384,0.03363327431075905,0.061601413356397426,0.03593813568819607,0.06889659850792143,0.3035866224168459,0.09756714056123207,0.12603706919757662,0.09883727990988891,0.0
