,KENT,Gloucester,Thou,Exit,Tis,Tom,Regan,Kent,Edgar,Goneril
KENT,0.0,0.09898298678829776,0.07640167256534725,0.065707618179694,0.06131809957189598,0.07538028142898458,0.08944145394389244,0.02898035865372288,0.0363575415917215,0.03191266833814548
Gloucester,0.09898298678829776,0.0,0.07478247389053728,0.045513676280548206,0.13561317730799155,0.16967989264299888,0.05698777879772142,0.10310122324331022,0.04915459573563512,0.03841748355665686
Thou,0.07640167256534725,0.07478247389053728,0.0,0.11557409107818752,0.26036539104335227,0.2637111178022059,0.13530493173605201,0.14759227807722397,0.06757393456427262,0.07809004572754592
Exit,0.065707618179694,0.045513676280548206,0.11557409107818752,0.0,0.28200042565910716,0.4415107076159657,0.15163745746544074,0.1852201123149314,0.07945444625518844,0.037505010495499445
Tis,0.06131809957189598,0.13561317730799155,0.26036539104335227,0.28200042565910716,0.0,0.779779167915747,0.13363249341726774,0.08230010865492254,0.044519586859354546,0.07341273597573866
Tom,0.07538028142898458,0.16967989264299888,0.2637111178022059,0.4415107076159657,0.779779167915747,0.0,0.8238122853783751,0.834032480513636,0.6770628602843283,0.3629208556775493
Regan,0.08944145394389244,0.05698777879772142,0.13530493173605201,0.15163745746544074,0.13363249341726774,0.8238122853783751,0.0,0.10757155418268921,0.10605771139753478,0.1185519210421844
Kent,0.02898035865372288,0.10310122324331022,0.14759227807722397,0.1852201123149314,0.08230010865492254,0.834032480513636,0.10757155418268921,0.0,0.20300831387036067,0.14786371460719777
Edgar,0.0363575415917215,0.04915459573563512,0.06757393456427262,0.07945444625518844,0.044519586859354546,0.6770628602843283,0.10605771139753478,0.20300831387036067,0.0,0.10963993640078681
Goneril,0.03191266833814548,0.03841748355665686,0.07809004572754592,0.037505010495499445,0.07341273597573866,0.3629208556775493,0.1185519210421844,0.14786371460719777,0.10963993640078681,0.0
