,RICHARD,Richard,GAUNT,Gaunt,Aumerle,Thou,Tis,Shall,Hath,Gloucester
RICHARD,0.0,0.045272771073782886,0.09186908921746392,0.036005927742858594,0.09159976439642722,0.07957483775358988,0.09375110555549003,0.036196181558744774,0.04103633297562474,0.05387773178666939
Richard,0.045272771073782886,0.0,0.1254965189488653,0.06223107976902244,0.06556556960391165,0.0719546221063928,0.07492305333789313,0.049885022229035715,0.045678368848689255,0.05054252474151294
GAUNT,0.09186908921746392,0.1254965189488653,0.0,0.17564259798661144,0.22796098017541166,0.2195697276304359,0.2546280026887109,0.18703522447198667,0.31696765292043544,0.0691604067658031
Gaunt,0.036005927742858594,0.06223107976902244,0.17564259798661144,0.0,0.17700121836094146,0.10478818539526809,0.16082029269213077,0.06567530277479686,0.13521692472788596,0.105956700223142
Aumerle,0.09159976439642722,0.06556556960391165,0.22796098017541166,0.17700121836094146,0.0,0.11008840513056367,0.06452906284272221,0.13526574605832617,0.12466043231641889,0.07183129780094366
Thou,0.07957483775358988,0.0719546221063928,0.2195697276304359,0.10478818539526809,0.11008840513056367,0.0,0.11897310109789035,0.09184070566869892,0.10801471715468343,0.03504522458991261
Tis,0.09375110555549003,0.07492305333789313,0.2546280026887109,0.16082029269213077,0.06452906284272221,0.11897310109789035,0.0,0.31085508083821745,0.24044458071439526,0.21670328921593673
Shall,0.036196181558744774,0.049885022229035715,0.18703522447198667,0.06567530277479686,0.13526574605832617,0.09184070566869892,0.31085508083821745,0.0,0.1383780469109306,0.07543904474764505
Hath,0.04103633297562474,0.045678368848689255,0.31696765292043544,0.13521692472788596,0.12466043231641889,0.10801471715468343,0.24044458071439526,0.1383780469109306,0.0,0.24296591547856297
Gloucester,0.05387773178666939,0.05054252474151294,0.0691604067658031,0.105956700223142,0.07183129780094366,0.03504522458991261,0.21670328921593673,0.07543904474764505,0.24296591547856297,0.0
