,RICHARD,Richard,GAUNT,Gaunt,Aumerle,Thou,Tis,Shall,Hath,Gloucester
RICHARD,0.0,0.04170396015512805,0.08462560535060719,0.034565373459334574,0.0812654013357156,0.07084661096058667,0.08278692724855236,0.032505607304213466,0.036979480734245646,0.049273734903697866
Richard,0.04170396015512805,0.0,0.11710022356384067,0.060794828537023844,0.05857269099860519,0.06493586066785083,0.06805201962578668,0.045265576623617396,0.040451826315851626,0.046345952479233926
GAUNT,0.08462560535060719,0.11710022356384067,0.0,0.15777705800914735,0.2004508261160915,0.1939709260986526,0.22542517583844154,0.16507543248411632,0.27555793747310564,0.06195007846431947
Gaunt,0.034565373459334574,0.060794828537023844,0.15777705800914735,0.0,0.16061606890108174,0.09408539164380286,0.14407830292792698,0.058521196176435475,0.11994953150449741,0.0974706525003726
Aumerle,0.0812654013357156,0.05857269099860519,0.2004508261160915,0.16061606890108174,0.0,0.1025791676841452,0.059309125398604584,0.1289064299891786,0.11560039214109223,0.0668136081160088
Thou,0.07084661096058667,0.06493586066785083,0.1939709260986526,0.09408539164380286,0.1025791676841452,0.0,0.1061117396616949,0.0853753527638613,0.09456658224964704,0.034626956308817944
Tis,0.08278692724855236,0.06805201962578668,0.22542517583844154,0.14407830292792698,0.059309125398604584,0.1061117396616949,0.0,0.28402841155478364,0.21687383990102005,0.20073458444686182
Shall,0.032505607304213466,0.045265576623617396,0.16507543248411632,0.058521196176435475,0.1289064299891786,0.0853753527638613,0.28402841155478364,0.0,0.12317487268531721,0.0704273776406405
Hath,0.036979480734245646,0.040451826315851626,0.27555793747310564,0.11994953150449741,0.11560039214109223,0.09456658224964704,0.21687383990102005,0.12317487268531721,0.0,0.21702213794784392
Gloucester,0.049273734903697866,0.046345952479233926,0.06195007846431947,0.0974706525003726,0.0668136081160088,0.034626956308817944,0.20073458444686182,0.0704273776406405,0.21702213794784392,0.0
