,RICHARD,Richard,GAUNT,Gaunt,Aumerle,Thou,Tis,Shall,Hath,Gloucester
RICHARD,0.0,0.048805651068138514,0.0990917615793078,0.03757431567000796,0.10230591498609674,0.08883822097961369,0.10523354107087565,0.04026681616258342,0.045381039206707795,0.05846385993916385
Richard,0.048805651068138514,0.0,0.13403278200576602,0.06389112895783113,0.07278210300264604,0.0794633947963398,0.08222123555959517,0.05478400547998909,0.051366401278888654,0.05472095815207575
GAUNT,0.0990917615793078,0.13403278200576602,0.0,0.19410258635247973,0.2567987957847436,0.2464299864993818,0.28519438321885704,0.21037491442285672,0.3611830166611402,0.07660627987211438
Gaunt,0.03757431567000796,0.06389112895783113,0.19410258635247973,0.0,0.1935282047578526,0.11600710306931693,0.1783805082511126,0.07327724041862231,0.15140865208368773,0.11435724858650549
Aumerle,0.10230591498609674,0.07278210300264604,0.2567987957847436,0.1935282047578526,0.0,0.11753062567927444,0.06994986337851263,0.14149650058992022,0.13441805152574113,0.0766845087767554
Thou,0.08883822097961369,0.0794633947963398,0.2464299864993818,0.11600710306931693,0.11753062567927444,0.0,0.13234978960422258,0.09858738021475388,0.12282332835243265,0.035424879120246375
Tis,0.10523354107087565,0.08222123555959517,0.28519438321885704,0.1783805082511126,0.06994986337851263,0.13234978960422258,0.0,0.33803593225296996,0.2651494919885375,0.23236670493236491
Shall,0.04026681616258342,0.05478400547998909,0.21037491442285672,0.07327724041862231,0.14149650058992022,0.09858738021475388,0.33803593225296996,0.0,0.15468270812423618,0.08025240987524863
Hath,0.045381039206707795,0.051366401278888654,0.3611830166611402,0.15140865208368773,0.13441805152574113,0.12282332835243265,0.2651494919885375,0.15468270812423618,0.0,0.27075399144593104
Gloucester,0.05846385993916385,0.05472095815207575,0.07660627987211438,0.11435724858650549,0.0766845087767554,0.035424879120246375,0.23236670493236491,0.08025240987524863,0.27075399144593104,0.0
