,MALCOLM,Macduff,DUNCAN,Duncan,Thou,Malcolm,Shall,Lady Macbeth,Exit,Tis
MALCOLM,0.0,0.07603677684612647,0.43510404828153776,0.12944507583179843,0.1038184102755026,0.06447753785058324,0.08393894266567388,0.03672031616931095,0.055381178761670175,0.031035569047482652
Macduff,0.07603677684612647,0.0,0.693404397068621,0.21805854920249249,0.07048585256887564,0.0648945147679325,0.04940928270042195,0.041099146571968614,0.035806747236382365,0.06240334497966667
DUNCAN,0.43510404828153776,0.693404397068621,0.0,0.480626641062821,0.5666581347728966,0.7192380243236535,0.5250930752047656,0.679738243885675,0.7547282204020848,0.6882811157569162
Duncan,0.12944507583179843,0.21805854920249249,0.480626641062821,0.0,0.14939035740878626,0.20007942417473315,0.06163564159841149,0.11156996391545904,0.18121312789965058,0.14999427229509132
Thou,0.1038184102755026,0.07048585256887564,0.5666581347728966,0.14939035740878626,0.0,0.17689004715810377,0.14481509059319933,0.15453634228764537,0.13897703190331634,0.15930752047654503
Malcolm,0.06447753785058324,0.0648945147679325,0.7192380243236535,0.20007942417473315,0.17689004715810377,0.0,0.2032638371804418,0.10559310384328997,0.12280772094621689,0.11272123260209632
Shall,0.08393894266567388,0.04940928270042195,0.5250930752047656,0.06163564159841149,0.14481509059319933,0.2032638371804418,0.0,0.11437940317314849,0.1552981270404949,0.14583882238387078
Lady Macbeth,0.03672031616931095,0.041099146571968614,0.679738243885675,0.11156996391545904,0.15453634228764537,0.10559310384328997,0.11437940317314849,0.0,0.11386963743627931,0.09209003952116392
Exit,0.055381178761670175,0.035806747236382365,0.7547282204020848,0.18121312789965058,0.13897703190331634,0.12280772094621689,0.1552981270404949,0.11386963743627931,0.0,0.15866028982186842
Tis,0.031035569047482652,0.06240334497966667,0.6882811157569162,0.14999427229509132,0.15930752047654503,0.11272123260209632,0.14583882238387078,0.09209003952116392,0.15866028982186842,0.0
