,MALCOLM,Macduff,DUNCAN,Duncan,Thou,Malcolm,Shall,Lady Macbeth,Exit,Tis
MALCOLM,0.0,0.0717368825065345,0.41366619673151594,0.12312424816901471,0.09783740169253385,0.06067770647352603,0.07910661416305823,0.03433134400300703,0.051472746097187695,0.02877401815003489
Macduff,0.0717368825065345,0.0,0.6425887542720964,0.19763137401224187,0.06684794070000226,0.05795597464459912,0.04694261794320162,0.036181353865073165,0.03199030684207528,0.05810326039780726
DUNCAN,0.41366619673151594,0.6425887542720964,0.0,0.4511059052292318,0.5174886438241879,0.6563847271231288,0.48255396364157765,0.6206643722089101,0.6867794755705977,0.6248958478239329
Duncan,0.12312424816901471,0.19763137401224187,0.4511059052292318,0.0,0.1334938540938096,0.17720320107697846,0.05726142032445656,0.09981542610102759,0.15941314708705728,0.13493795279640233
Thou,0.09783740169253385,0.06684794070000226,0.5174886438241879,0.1334938540938096,0.0,0.16021218994426117,0.13016945520984183,0.13825340905081454,0.12519430256205896,0.14384580134933517
Malcolm,0.06067770647352603,0.05795597464459912,0.6563847271231288,0.17720320107697846,0.16021218994426117,0.0,0.18341305114942077,0.09564380439522101,0.10952639891508689,0.10404944021367767
Shall,0.07910661416305823,0.04694261794320162,0.48255396364157765,0.05726142032445656,0.13016945520984183,0.18341305114942077,0.0,0.10357454383826376,0.13677426086568273,0.1345081867831766
Lady Macbeth,0.03433134400300703,0.036181353865073165,0.6206643722089101,0.09981542610102759,0.13825340905081454,0.09564380439522101,0.10357454383826376,0.0,0.10358621956329875,0.08740508352509652
Exit,0.051472746097187695,0.03199030684207528,0.6867794755705977,0.15941314708705728,0.12519430256205896,0.10952639891508689,0.13677426086568273,0.10358621956329875,0.0,0.14964526871471562
Tis,0.02877401815003489,0.05810326039780726,0.6248958478239329,0.13493795279640233,0.14384580134933517,0.10404944021367767,0.1345081867831766,0.08740508352509652,0.14964526871471562,0.0
