,MALCOLM,Macduff,DUNCAN,Duncan,Thou,Malcolm,Shall,Lady Macbeth,Exit,Tis
MALCOLM,0.0,0.08046509163863902,0.4541177738558474,0.13545142487918124,0.10966074000818402,0.06814167674739212,0.08859515135454202,0.039301115370389175,0.05940965502102516,0.033551779753284945
Macduff,0.08046509163863902,0.0,0.7436679717923022,0.23898623467905256,0.07397158697685138,0.07242757216655883,0.052068588476664845,0.046326914824488245,0.03978372993326819,0.066957077424592
DUNCAN,0.4541177738558474,0.7436679717923022,0.0,0.5092947154066554,0.6164390296069666,0.7821405893309721,0.5670458066595627,0.7388197922003694,0.8229421771966507,0.7520182220421324
Duncan,0.13545142487918124,0.23898623467905256,0.5092947154066554,0.0,0.16614198067776265,0.22380078815943535,0.06625930459909055,0.12389572069045439,0.20410645850236248,0.1658229285817025
Thou,0.10966074000818402,0.07397158697685138,0.6164390296069666,0.16614198067776265,0.0,0.19374274048922122,0.1601179548580467,0.17124591071007653,0.15300859889849652,0.17510224331197174
Malcolm,0.06814167674739212,0.07242757216655883,0.7821405893309721,0.22380078815943535,0.19374274048922122,0.0,0.2237519289729554,0.11589759021773942,0.13658242335995505,0.12202712498617083
Shall,0.08859515135454202,0.052068588476664845,0.5670458066595627,0.06625930459909055,0.1601179548580467,0.2237519289729554,0.0,0.12582638078752056,0.17473207281273576,0.1578322199419241
Lady Macbeth,0.039301115370389175,0.046326914824488245,0.7388197922003694,0.12389572069045439,0.17124591071007653,0.11589759021773942,0.12582638078752056,0.0,0.12515355470510053,0.09674055702236449
Exit,0.05940965502102516,0.03978372993326819,0.8229421771966507,0.20410645850236248,0.15300859889849652,0.13658242335995505,0.17473207281273576,0.12515355470510053,0.0,0.16829778179767318
Tis,0.033551779753284945,0.066957077424592,0.7520182220421324,0.1658229285817025,0.17510224331197174,0.12202712498617083,0.1578322199419241,0.09674055702236449,0.16829778179767318,0.0
