,Cassio,Tis,Roderigo,Exit,Thou,Emilia,Hath,Michael Cassio,Marry,Within
Cassio,0.0,0.06467628299000942,0.02384119468347721,0.01805297927039603,0.0271950428125951,0.021359802942347093,0.02693438337292676,0.008539368349116453,0.009671238894855015,0.016694327833642497
Tis,0.06467628299000942,0.0,0.043142703727981485,0.03250884460002885,0.04909952851588746,0.0101213586764695,0.03845715773373685,0.014787537830713675,0.03197610563311532,0.05463487259591915
Roderigo,0.02384119468347721,0.043142703727981485,0.0,0.11976006843233242,0.03832028759956583,0.07470204792766545,0.181712171998221,0.05450368544371767,0.07479803280288977,0.06644476715805916
Exit,0.01805297927039603,0.03250884460002885,0.11976006843233242,0.0,0.2201503465781509,0.10602925825516862,0.14700011932268103,0.19245155227960556,0.044084984867714554,0.12658339841843208
Thou,0.0271950428125951,0.04909952851588746,0.03832028759956583,0.2201503465781509,0.0,0.21430395241778621,0.33247637953290593,0.048911451723127976,0.09409474763252956,0.05777726252074585
Emilia,0.021359802942347093,0.0101213586764695,0.07470204792766545,0.10602925825516862,0.21430395241778621,0.0,0.40696627507132244,0.10209106218881188,0.08238248071853949,0.06213999804744706
Hath,0.02693438337292676,0.03845715773373685,0.181712171998221,0.14700011932268103,0.33247637953290593,0.40696627507132244,0.0,0.8308875573562433,0.49638472615444695,0.7029068632236649
Michael Cassio,0.008539368349116453,0.014787537830713675,0.05450368544371767,0.19245155227960556,0.048911451723127976,0.10209106218881188,0.8308875573562433,0.0,0.3345028312017963,0.1685022698428195
Marry,0.009671238894855015,0.03197610563311532,0.07479803280288977,0.044084984867714554,0.09409474763252956,0.08238248071853949,0.49638472615444695,0.3345028312017963,0.0,0.22471138826515666
Within,0.016694327833642497,0.05463487259591915,0.06644476715805916,0.12658339841843208,0.05777726252074585,0.06213999804744706,0.7029068632236649,0.1685022698428195,0.22471138826515666,0.0
