,Cassio,Tis,Roderigo,Exit,Thou,Emilia,Hath,Michael Cassio,Marry,Within
Cassio,0.0,0.06118949082163832,0.023741532931152325,0.01708851078782148,0.02635721686555525,0.019462444008539994,0.02588703639009244,0.00790307455702164,0.008729219331566042,0.014901108024188495
Tis,0.06118949082163832,0.0,0.04009579974421066,0.030189619144198977,0.045289563771717896,0.008969839245833751,0.03682860832393593,0.01346194530560032,0.028510603673563416,0.04733917553155027
Roderigo,0.023741532931152325,0.04009579974421066,0.0,0.10961039938189036,0.033903546299255335,0.06719619602273214,0.18089768915077248,0.048299842811985336,0.06898221117965536,0.05935621979195827
Exit,0.01708851078782148,0.030189619144198977,0.10961039938189036,0.0,0.195891240297841,0.09279491390711318,0.14347081106233453,0.16826141251054777,0.03969386112918579,0.11003785823214107
Thou,0.02635721686555525,0.045289563771717896,0.033903546299255335,0.195891240297841,0.0,0.19063741680761867,0.3213244191859893,0.04367806229419868,0.09009611240867642,0.053469397191965425
Emilia,0.019462444008539994,0.008969839245833751,0.06719619602273214,0.09279491390711318,0.19063741680761867,0.0,0.3760210793846707,0.09665136665812354,0.07562976905994159,0.05408710205541426
Hath,0.02588703639009244,0.03682860832393593,0.18089768915077248,0.14347081106233453,0.3213244191859893,0.3760210793846707,0.0,0.755137637863869,0.4543712660754604,0.6358251688135276
Michael Cassio,0.00790307455702164,0.01346194530560032,0.048299842811985336,0.16826141251054777,0.04367806229419868,0.09665136665812354,0.755137637863869,0.0,0.3007663717884085,0.15473691436349235
Marry,0.008729219331566042,0.028510603673563416,0.06898221117965536,0.03969386112918579,0.09009611240867642,0.07562976905994159,0.4543712660754604,0.3007663717884085,0.0,0.1997901004307444
Within,0.014901108024188495,0.04733917553155027,0.05935621979195827,0.11003785823214107,0.053469397191965425,0.05408710205541426,0.6358251688135276,0.15473691436349235,0.1997901004307444,0.0
