,Cassio,Tis,Roderigo,Exit,Thou,Emilia,Hath,Michael Cassio,Marry,Within
Cassio,0.0,0.06792010495904374,0.023901529926777822,0.018988661946737692,0.02804414086742801,0.023250136910480418,0.02775369610313599,0.00931879212435792,0.010621910156509609,0.01858540394242262
Tis,0.06792010495904374,0.0,0.04642029439374025,0.034837046593611885,0.05335601324460824,0.011321679730383798,0.039779428572343616,0.01635078874307276,0.035558354472744164,0.06246817636274725
Roderigo,0.023901529926777822,0.04642029439374025,0.0,0.1298735648064997,0.04306251449554733,0.08241499368786873,0.1809266891356826,0.06136019643389519,0.08043362899827508,0.07375898289792937
Exit,0.018988661946737692,0.034837046593611885,0.1298735648064997,0.0,0.24587634776345635,0.1200229822014013,0.14936606438233746,0.21869016135260422,0.04853555882548982,0.1441913107124407
Thou,0.02804414086742801,0.05335601324460824,0.04306251449554733,0.24587634776345635,0.0,0.23889503224693037,0.3423679015620868,0.05450874790505872,0.09764154486947639,0.062099214358699265
Emilia,0.023250136910480418,0.011321679730383798,0.08241499368786873,0.1200229822014013,0.23889503224693037,0.0,0.4364297488177178,0.10817880675337953,0.08905842606632516,0.07071746338950823
Hath,0.02775369610313599,0.039779428572343616,0.1809266891356826,0.14936606438233746,0.3423679015620868,0.4364297488177178,0.0,0.9077580149618549,0.5375946487183397,0.7702833890697675
Michael Cassio,0.00931879212435792,0.01635078874307276,0.06136019643389519,0.21869016135260422,0.05450874790505872,0.10817880675337953,0.9077580149618549,0.0,0.37016336624351526,0.18338438268163135
Marry,0.010621910156509609,0.035558354472744164,0.08043362899827508,0.04853555882548982,0.09764154486947639,0.08905842606632516,0.5375946487183397,0.37016336624351526,0.0,0.2505525501596501
Within,0.01858540394242262,0.06246817636274725,0.07375898289792937,0.1441913107124407,0.062099214358699265,0.07071746338950823,0.7702833890697675,0.18338438268163135,0.2505525501596501,0.0
