,BENVOLIO,Juliet,LAWRENCE,Thou,Montague,Nurse,Romeo,Exit,Mercutio,Tis
BENVOLIO,0.0,0.2328770699465418,0.1969082074010787,0.044858582082910596,0.04973706017653259,0.09779791415931749,0.04514871575799648,0.07396247333236708,0.017918119911301707,0.05627347323828342
Juliet,0.2328770699465418,0.0,0.09311807669259478,0.05778199035261031,0.23441100095129033,0.03456034273837444,0.05734686722959876,0.043745089214197966,0.18213921357567034,0.04811057118954806
LAWRENCE,0.1969082074010787,0.09311807669259478,0.0,0.054667058258129966,0.20622234879724063,0.0897418782424389,0.08557511707114349,0.07221175435518362,0.15100628701031157,0.07324896317260284
Thou,0.044858582082910596,0.05778199035261031,0.054667058258129966,0.0,0.3001420013488151,0.07250945775535941,0.044121368588947364,0.0964586400587896,0.17181075452555133,0.05332407753510975
Montague,0.04973706017653259,0.23441100095129033,0.20622234879724063,0.3001420013488151,0.0,0.3404678970306139,0.21906524176903377,0.2867911622383775,0.06348981065896975,0.13408803688079599
Nurse,0.09779791415931749,0.03456034273837444,0.0897418782424389,0.07250945775535941,0.3404678970306139,0.0,0.08701224226355343,0.11908957527583042,0.25434146588235956,0.0579840159484523
Romeo,0.04514871575799648,0.05734686722959876,0.08557511707114349,0.044121368588947364,0.21906524176903377,0.08701224226355343,0.0,0.15493163677603256,0.24709187129194268,0.06428151866289313
Exit,0.07396247333236708,0.043745089214197966,0.07221175435518362,0.0964586400587896,0.2867911622383775,0.11908957527583042,0.15493163677603256,0.0,0.3757113989651868,0.12123493707837171
Mercutio,0.017918119911301707,0.18213921357567034,0.15100628701031157,0.17181075452555133,0.06348981065896975,0.25434146588235956,0.24709187129194268,0.3757113989651868,0.0,0.22153219059824497
Tis,0.05627347323828342,0.04811057118954806,0.07324896317260284,0.05332407753510975,0.13408803688079599,0.0579840159484523,0.06428151866289313,0.12123493707837171,0.22153219059824497,0.0
