,BENVOLIO,Juliet,LAWRENCE,Thou,Montague,Nurse,Romeo,Exit,Mercutio,Tis
BENVOLIO,0.0,0.2152788109267239,0.18069614374650556,0.04001804874283172,0.04867763195407005,0.08706982757192143,0.04101622431690928,0.06628588500487564,0.018549002738629305,0.05227683822431008
Juliet,0.2152788109267239,0.0,0.08523490735067972,0.05553513005807924,0.2390675704310502,0.03271999169935481,0.05669287113919307,0.04029357310162951,0.19083967400907884,0.04717340244825562
LAWRENCE,0.18069614374650556,0.08523490735067972,0.0,0.052335093408914124,0.21010912693866288,0.08374767224964523,0.08303439236244442,0.06814001898954328,0.16036243943084197,0.07262240721695642
Thou,0.04001804874283172,0.05553513005807924,0.052335093408914124,0.0,0.294169277987439,0.06631848707868279,0.041859913683626605,0.08776617404502013,0.17636420348766435,0.05106767683329896
Montague,0.04867763195407005,0.2390675704310502,0.21010912693866288,0.294169277987439,0.0,0.32991112960322205,0.20945356988031807,0.2708069563298965,0.05784325258794163,0.12735369016867906
Nurse,0.08706982757192143,0.03271999169935481,0.08374767224964523,0.06631848707868279,0.32991112960322205,0.0,0.08097915911177037,0.10764436891980285,0.25441421863686836,0.05592001603178043
Romeo,0.04101622431690928,0.05669287113919307,0.08303439236244442,0.041859913683626605,0.20945356988031807,0.08097915911177037,0.0,0.1393964684568526,0.24476925847979056,0.060563634526658666
Exit,0.06628588500487564,0.04029357310162951,0.06814001898954328,0.08776617404502013,0.2708069563298965,0.10764436891980285,0.1393964684568526,0.0,0.36900277500121464,0.11705308930294359
Mercutio,0.018549002738629305,0.19083967400907884,0.16036243943084197,0.17636420348766435,0.05784325258794163,0.25441421863686836,0.24476925847979056,0.36900277500121464,0.0,0.20640205574754872
Tis,0.05227683822431008,0.04717340244825562,0.07262240721695642,0.05106767683329896,0.12735369016867906,0.05592001603178043,0.060563634526658666,0.11705308930294359,0.20640205574754872,0.0
