,BENVOLIO,Juliet,LAWRENCE,Thou,Montague,Nurse,Romeo,Exit,Mercutio,Tis
BENVOLIO,0.0,0.25003637151149954,0.21291721456153007,0.04995395183903079,0.05100873498748303,0.10898598017503283,0.049408615543964564,0.08179446489734689,0.017515080304638074,0.06027790763433276
Juliet,0.25003637151149954,0.0,0.10113477162000285,0.06001091526272446,0.22905299105095106,0.03640058082377345,0.057944322309035116,0.047251324309706785,0.17314272197338107,0.048911701346244466
LAWRENCE,0.21291721456153007,0.10113477162000285,0.0,0.057116638129184424,0.20226936464568632,0.0956448414760653,0.08805979573646028,0.07618764608806305,0.14178324283559882,0.073560643133077
Thou,0.04995395183903079,0.06001091526272446,0.057116638129184424,0.0,0.3055930802082154,0.07875388992940781,0.04643861735903857,0.1052684170870791,0.16703200839585125,0.05543677199010597
Montague,0.05100873498748303,0.22905299105095106,0.20226936464568632,0.3055930802082154,0.0,0.3508244918814293,0.22827551860232437,0.3026447786470729,0.06950642800305903,0.14046370193038973
Nurse,0.10898598017503283,0.03640058082377345,0.0956448414760653,0.07875388992940781,0.3508244918814293,0.0,0.09340759106362473,0.13085412574055016,0.2541842455502528,0.0598954674549874
Romeo,0.049408615543964564,0.057944322309035116,0.08805979573646028,0.04643861735903857,0.22827551860232437,0.09340759106362473,0.0,0.17094206408397694,0.24901259169089668,0.0677768813171746
Exit,0.08179446489734689,0.047251324309706785,0.07618764608806305,0.1052684170870791,0.3026447786470729,0.13085412574055016,0.17094206408397694,0.0,0.3815574238326328,0.12474898076093091
Mercutio,0.017515080304638074,0.17314272197338107,0.14178324283559882,0.16703200839585125,0.06950642800305903,0.2541842455502528,0.24901259169089668,0.3815574238326328,0.0,0.23727174962209618
Tis,0.06027790763433276,0.048911701346244466,0.073560643133077,0.05543677199010597,0.14046370193038973,0.0598954674549874,0.0677768813171746,0.12474898076093091,0.23727174962209618,0.0
