,Pros,Pope,Seb,Ste,Ant,Ari,Gon,Ff,Cal,Alon
Pros,0.0,0.4163752687336493,0.20772045919434148,0.1709113083470856,0.16589983000083158,0.004503533673383111,0.09254150801668093,0.10815396171678712,0.14507628150335433,0.0961098296972557
Pope,0.4163752687336493,0.0,0.13916339418810814,0.18239556978557941,0.14224081715932796,0.15004806538651946,0.1275251996947544,0.015133525008418153,0.13890900613878315,0.12554970759125572
Seb,0.20772045919434148,0.13916339418810814,0.0,0.4352661961276014,0.006145599448150242,0.3012754066009146,0.06629228258725497,0.19918304970601186,0.3896091382391794,0.029956023392699545
Ste,0.1709113083470856,0.18239556978557941,0.4352661961276014,0.0,0.4680007579754421,0.26195415730161364,0.364135340143577,0.21976221928665784,0.038274924236537396,0.27910078230473806
Ant,0.16589983000083158,0.14224081715932796,0.006145599448150242,0.4680007579754421,0.0,0.3630708283911756,0.1138987349842894,0.2549838112259435,0.44378480586422153,0.06306135561161345
Ari,0.004503533673383111,0.15004806538651946,0.3012754066009146,0.26195415730161364,0.3630708283911756,0.0,0.29398564628574736,0.2754951174657446,0.26593622918123655,0.2805051781965485
Gon,0.09254150801668093,0.1275251996947544,0.06629228258725497,0.364135340143577,0.1138987349842894,0.29398564628574736,0.0,0.1775367161395602,0.3867998031445075,0.0844071623558725
Ff,0.10815396171678712,0.015133525008418153,0.19918304970601186,0.21976221928665784,0.2549838112259435,0.2754951174657446,0.1775367161395602,0.0,0.24307405392804413,0.1771370919086454
Cal,0.14507628150335433,0.13890900613878315,0.3896091382391794,0.038274924236537396,0.44378480586422153,0.26593622918123655,0.3867998031445075,0.24307405392804413,0.0,0.3389332277035568
Alon,0.0961098296972557,0.12554970759125572,0.029956023392699545,0.27910078230473806,0.06306135561161345,0.2805051781965485,0.0844071623558725,0.1771370919086454,0.3389332277035568,0.0
