,Pros,Pope,Seb,Ste,Ant,Ari,Gon,Ff,Cal,Alon
Pros,0.0,0.37585168835227123,0.18675009918947047,0.1512479451119545,0.14890632398960366,0.004108948660403152,0.08477233894723961,0.09691242179491852,0.1270319432069617,0.08522754240393615
Pope,0.37585168835227123,0.0,0.12314393398467456,0.17301768426693423,0.12569739575630923,0.1404868147414252,0.11522000192753194,0.015992049988167552,0.1323276680789549,0.11153129557336744
Seb,0.18675009918947047,0.12314393398467456,0.0,0.399230432285752,0.005772081814327975,0.27644237481646067,0.06387941459747022,0.18317909773289762,0.3567356460890621,0.029096971374178136
Ste,0.1512479451119545,0.17301768426693423,0.399230432285752,0.0,0.4277758047655992,0.2408644990806529,0.33031123822424424,0.20070324689025518,0.03602120467803133,0.24753179528144428
Ant,0.14890632398960366,0.12569739575630923,0.005772081814327975,0.4277758047655992,0.0,0.33223740135190655,0.10643323675436124,0.23312432998232532,0.40588998622124084,0.06003261329299699
Ari,0.004108948660403152,0.1404868147414252,0.27644237481646067,0.2408644990806529,0.33223740135190655,0.0,0.2722158290720645,0.25442332236742937,0.24002627018028785,0.25254685493519446
Gon,0.08477233894723961,0.11522000192753194,0.06387941459747022,0.33031123822424424,0.10643323675436124,0.2722158290720645,0.0,0.1602017482833803,0.3533229508742721,0.07671456296701284
Ff,0.09691242179491852,0.015992049988167552,0.18317909773289762,0.20070324689025518,0.23312432998232532,0.25442332236742937,0.1602017482833803,0.0,0.22545393732375976,0.1580765590955806
Cal,0.1270319432069617,0.1323276680789549,0.3567356460890621,0.03602120467803133,0.40588998622124084,0.24002627018028785,0.3533229508742721,0.22545393732375976,0.0,0.30469034095558095
Alon,0.08522754240393615,0.11153129557336744,0.029096971374178136,0.24753179528144428,0.06003261329299699,0.25254685493519446,0.07671456296701284,0.1580765590955806,0.30469034095558095,0.0
