,Pros,Pope,Seb,Ste,Ant,Ari,Gon,Ff,Cal,Alon
Pros,0.0,0.4574371096405142,0.22888999512659153,0.19176620665811484,0.18316247188288123,0.004899608874667091,0.10048380290083254,0.12018518535301297,0.16438590451800658,0.10736921189681152
Pope,0.4574371096405142,0.0,0.15594493845902985,0.19110104722456028,0.15974118311951407,0.15902363066804587,0.14044360347114196,0.01429593315453501,0.14505616363484963,0.14028455115732386
Seb,0.22888999512659153,0.15594493845902985,0.0,0.47122800847256097,0.006563084579255867,0.3255625934381173,0.06848758960505481,0.21546950710243246,0.4225894324863553,0.030795993178239955
Ste,0.19176620665811484,0.19110104722456028,0.47122800847256097,0.0,0.50839456315582,0.2831783061547233,0.3989993638716579,0.23958457766806168,0.040350154539835176,0.3123567142647229
Ant,0.18316247188288123,0.15974118311951407,0.006563084579255867,0.50839456315582,0.0,0.3934657407611691,0.12117043633693159,0.2771675806590218,0.48185062334214745,0.06600505053940309
Ari,0.004899608874667091,0.15902363066804587,0.3255625934381173,0.2831783061547233,0.3934657407611691,0.0,0.31531927264167314,0.2967339712324359,0.2927571432052203,0.30882856706300155
Gon,0.10048380290083254,0.14044360347114196,0.06848758960505481,0.3989993638716579,0.12117043633693159,0.31531927264167314,0.0,0.19564851217989215,0.42091281613588033,0.09237911432185805
Ff,0.12018518535301297,0.01429593315453501,0.21546950710243246,0.23958457766806168,0.2771675806590218,0.2967339712324359,0.19564851217989215,0.0,0.2608136228734864,0.1969541555405474
Cal,0.16438590451800658,0.14505616363484963,0.4225894324863553,0.040350154539835176,0.48185062334214745,0.2927571432052203,0.42091281613588033,0.2608136228734864,0.0,0.3742554368545658
Alon,0.10736921189681152,0.14028455115732386,0.030795993178239955,0.3123567142647229,0.06600505053940309,0.30882856706300155,0.09237911432185805,0.1969541555405474,0.3742554368545658,0.0
