,Alyosha,Mitya,Ivan,Smerdyakov,Grushenka,Dmitri,Grigory,Rakitin,Katerina Ivanovna,Dmitri Fyodorovitch
Alyosha,0.0,0.3145015250765895,0.0922605575191001,0.043904335603849085,0.02390639959509919,0.008140125509064048,0.027608213429892087,0.008461324677944509,0.004811229365627037,0.009250119454936713
Mitya,0.3145015250765895,0.0,0.34304426359498147,0.15341452203327002,0.03516139621831425,0.028176345640970185,0.017718318956227042,0.046634448418512144,0.033528906807265946,0.007263017100366569
Ivan,0.0922605575191001,0.34304426359498147,0.0,0.07769368734843922,0.15366725897511835,0.016478144033589215,0.03671246564723125,0.19230777715131184,0.03358197984037455,0.06608733638161404
Smerdyakov,0.043904335603849085,0.15341452203327002,0.07769368734843922,0.0,0.2420187924742354,0.10503487989692581,0.13999228321450755,0.07249877911706035,0.07576771223589562,0.10108069224571796
Grushenka,0.02390639959509919,0.03516139621831425,0.15366725897511835,0.2420187924742354,0.0,0.10955843199264784,0.06654479516245178,0.038737596155869566,0.10867875431481436,0.0520962510332416
Dmitri,0.008140125509064048,0.028176345640970185,0.016478144033589215,0.10503487989692581,0.10955843199264784,0.0,0.08792578883285034,0.38242262359580315,0.06638741282387867,0.07840467496050141
Grigory,0.027608213429892087,0.017718318956227042,0.03671246564723125,0.13999228321450755,0.06654479516245178,0.08792578883285034,0.0,0.5994268199500616,0.2964219748770228,0.1191851778221883
Rakitin,0.008461324677944509,0.046634448418512144,0.19230777715131184,0.07249877911706035,0.038737596155869566,0.38242262359580315,0.5994268199500616,0.0,0.3583041881545692,0.45203516334808647
Katerina Ivanovna,0.004811229365627037,0.033528906807265946,0.03358197984037455,0.07576771223589562,0.10867875431481436,0.06638741282387867,0.2964219748770228,0.3583041881545692,0.0,0.2245273421015001
Dmitri Fyodorovitch,0.009250119454936713,0.007263017100366569,0.06608733638161404,0.10108069224571796,0.0520962510332416,0.07840467496050141,0.1191851778221883,0.45203516334808647,0.2245273421015001,0.0
