,Alyosha,Mitya,Ivan,Smerdyakov,Grushenka,Dmitri,Grigory,Rakitin,Katerina Ivanovna,Dmitri Fyodorovitch
Alyosha,0.0,0.29906306636233254,0.08148860813198586,0.03854226114276517,0.02357383382894273,0.008089641687633587,0.02742069391547934,0.007361039532963687,0.004206893729468722,0.008943760847675349
Mitya,0.29906306636233254,0.0,0.3067170952182582,0.13241096750048514,0.031050711386716317,0.025771344820174676,0.015943206700669114,0.03953769552063265,0.030512103640408943,0.006568893673838746
Ivan,0.08148860813198586,0.3067170952182582,0.0,0.06731398484722055,0.13584966926040973,0.014834306605328102,0.034729405684187836,0.16486424910322844,0.02944328548497705,0.05728277107644132
Smerdyakov,0.03854226114276517,0.13241096750048514,0.06731398484722055,0.0,0.22362939671655607,0.09904008981185966,0.13413048158976057,0.06330972823329584,0.06817594220026511,0.09592283294007836
Grushenka,0.02357383382894273,0.031050711386716317,0.13584966926040973,0.22362939671655607,0.0,0.09767365602756337,0.06386145656255522,0.03375256636133914,0.09470847792632231,0.046789334820686486
Dmitri,0.008089641687633587,0.025771344820174676,0.014834306605328102,0.09904008981185966,0.09767365602756337,0.0,0.08200903136374997,0.33410497824696694,0.05856458323920013,0.0691455997026223
Grigory,0.02742069391547934,0.015943206700669114,0.034729405684187836,0.13413048158976057,0.06386145656255522,0.08200903136374997,0.0,0.5405134332465518,0.276794349912759,0.10663496229324185
Rakitin,0.007361039532963687,0.03953769552063265,0.16486424910322844,0.06330972823329584,0.03375256636133914,0.33410497824696694,0.5405134332465518,0.0,0.3138545258175142,0.4113388626791259
Katerina Ivanovna,0.004206893729468722,0.030512103640408943,0.02944328548497705,0.06817594220026511,0.09470847792632231,0.05856458323920013,0.276794349912759,0.3138545258175142,0.0,0.2128977384772598
Dmitri Fyodorovitch,0.008943760847675349,0.006568893673838746,0.05728277107644132,0.09592283294007836,0.046789334820686486,0.0691455997026223,0.10663496229324185,0.4113388626791259,0.2128977384772598,0.0
