,Hans,Harry,Sneffels,Saknussemm,Uncle,Hardwigg,M. Fridriksson,Professor Hardwigg,Gretchen,Arne Saknussemm
Hans,0.0,0.0405191280541484,0.03566425105291641,0.020639342478670455,0.030175820933167275,0.021419501261472438,0.03658566597284374,0.03553564898346524,0.018151650603392765,0.026179853167966637
Harry,0.0405191280541484,0.0,0.1521227001307177,0.07381248129981051,0.06842270547129421,0.03484832505951851,0.2358438755988918,0.04503081186778249,0.022871310550492345,0.06695306633652676
Sneffels,0.03566425105291641,0.1521227001307177,0.0,0.14467259934900675,0.12425415607847859,0.09023428981273325,0.1200289877223137,0.08453467884030116,0.07110729025084427,0.0542752651408686
Saknussemm,0.020639342478670455,0.07381248129981051,0.14467259934900675,0.0,0.08303625961591565,0.14328007646617838,0.247754358196544,0.05511606962061659,0.045859664711269066,0.06405087935194106
Uncle,0.030175820933167275,0.06842270547129421,0.12425415607847859,0.08303625961591565,0.0,0.1756379061132381,0.2960212473010203,0.05477304392240068,0.07041327109690469,0.08628174704897619
Hardwigg,0.021419501261472438,0.03484832505951851,0.09023428981273325,0.14328007646617838,0.1756379061132381,0.0,0.3085437361003353,0.07754571912995384,0.0593328679063947,0.08483353843440158
M. Fridriksson,0.03658566597284374,0.2358438755988918,0.1200289877223137,0.247754358196544,0.2960212473010203,0.3085437361003353,0.0,0.43547943508049763,0.424162746667348,0.2640371967890487
Professor Hardwigg,0.03553564898346524,0.04503081186778249,0.08453467884030116,0.05511606962061659,0.05477304392240068,0.07754571912995384,0.43547943508049763,0.0,0.08972464254304441,0.29517656688012006
Gretchen,0.018151650603392765,0.022871310550492345,0.07110729025084427,0.045859664711269066,0.07041327109690469,0.0593328679063947,0.424162746667348,0.08972464254304441,0.0,0.3109049202001611
Arne Saknussemm,0.026179853167966637,0.06695306633652676,0.0542752651408686,0.06405087935194106,0.08628174704897619,0.08483353843440158,0.2640371967890487,0.29517656688012006,0.3109049202001611,0.0
