,Hans,Harry,Sneffels,Saknussemm,Uncle,Hardwigg,M. Fridriksson,Professor Hardwigg,Gretchen,Arne Saknussemm
Hans,0.0,0.040617518471498755,0.03482328960760704,0.020285610156187357,0.029651294236887112,0.02277294100643576,0.03468715650342466,0.0386585394136615,0.018918846905212814,0.02497995188804262
Harry,0.040617518471498755,0.0,0.1389480070550989,0.06639917099106295,0.06198361494160603,0.033037555607934546,0.2216853635940304,0.0433292005932394,0.02109543076777161,0.06509131633812425
Sneffels,0.03482328960760704,0.1389480070550989,0.0,0.12939062429517564,0.11462526220509983,0.08731287527994121,0.11207631570538934,0.08726209679305857,0.0714154803133956,0.050906342338466505
Saknussemm,0.020285610156187357,0.06639917099106295,0.12939062429517564,0.0,0.07655340163845147,0.1314908407459807,0.23595996512780523,0.056656737683901906,0.04459815305828791,0.06075317793269752
Uncle,0.029651294236887112,0.06198361494160603,0.11462526220509983,0.07655340163845147,0.0,0.15722232848166567,0.2842524461514737,0.0543304976832811,0.0640917326851409,0.08317892601617378
Hardwigg,0.02277294100643576,0.033037555607934546,0.08731287527994121,0.1314908407459807,0.15722232848166567,0.0,0.28634011105888907,0.07177717542671538,0.055981852692119166,0.07891819857679704
M. Fridriksson,0.03468715650342466,0.2216853635940304,0.11207631570538934,0.23595996512780523,0.2842524461514737,0.28634011105888907,0.0,0.40839222771427985,0.39589064246870126,0.24024588039081285
Professor Hardwigg,0.0386585394136615,0.0433292005932394,0.08726209679305857,0.056656737683901906,0.0543304976832811,0.07177717542671538,0.40839222771427985,0.0,0.08316528346181092,0.26895216724226595
Gretchen,0.018918846905212814,0.02109543076777161,0.0714154803133956,0.04459815305828791,0.0640917326851409,0.055981852692119166,0.39589064246870126,0.08316528346181092,0.0,0.28582020223023163
Arne Saknussemm,0.02497995188804262,0.06509131633812425,0.050906342338466505,0.06075317793269752,0.08317892601617378,0.07891819857679704,0.24024588039081285,0.26895216724226595,0.28582020223023163,0.0
