,Hans,Harry,Sneffels,Saknussemm,Uncle,Hardwigg,M. Fridriksson,Professor Hardwigg,Gretchen,Arne Saknussemm
Hans,0.0,0.040200935199155484,0.03626456495608874,0.020895007019894964,0.030516305287948273,0.02013939593391786,0.03820812678256998,0.032783018550987156,0.017396568100321197,0.027200382693924753
Harry,0.040200935199155484,0.0,0.16532358890319654,0.08154511916536958,0.07512035751121782,0.03672028155111581,0.24878498835712085,0.0473037116224446,0.0247667074241993,0.06825270452594213
Sneffels,0.03626456495608874,0.16532358890319654,0.0,0.16072447204731563,0.1342323452380811,0.09338117574362992,0.1274297169403402,0.08217484872251747,0.07072632549909928,0.05768274034240489
Saknussemm,0.020895007019894964,0.08154511916536958,0.16072447204731563,0.0,0.08963939030824278,0.1556341119924475,0.2583440059785932,0.05403213761280504,0.04720271316850348,0.06696437483820963
Uncle,0.030516305287948273,0.07512035751121782,0.1342323452380811,0.08963939030824278,0.0,0.1953609614839729,0.30610859718721367,0.05575245487328613,0.07700913467927928,0.08874607227920252
Hardwigg,0.02013939593391786,0.03672028155111581,0.09338117574362992,0.1556341119924475,0.1953609614839729,0.0,0.32977286213994594,0.08401247454851016,0.06268921998593997,0.09052845381469425
M. Fridriksson,0.03820812678256998,0.24878498835712085,0.1274297169403402,0.2583440059785932,0.30610859718721367,0.32977286213994594,0.0,0.4628624144160243,0.4518780676974077,0.28833521669140233
Professor Hardwigg,0.032783018550987156,0.0473037116224446,0.08217484872251747,0.05403213761280504,0.05575245487328613,0.08401247454851016,0.4628624144160243,0.0,0.09661921520930773,0.32266567810002084
Gretchen,0.017396568100321197,0.0247667074241993,0.07072632549909928,0.04720271316850348,0.07700913467927928,0.06268921998593997,0.4518780676974077,0.09661921520930773,0.0,0.3367097810005097
Arne Saknussemm,0.027200382693924753,0.06825270452594213,0.05768274034240489,0.06696437483820963,0.08874607227920252,0.09052845381469425,0.28833521669140233,0.32266567810002084,0.3367097810005097,0.0
