,Ardan,Moon,M'Nicholl,Marston,Projectile,Susquehanna,Michael,Captain,Tycho,Barbican
Ardan,0.0,0.05316447063218237,0.001090289095073469,0.010528422378970212,0.003454116120979895,0.012213335451157136,0.0011384528537246707,0.0020321690308486872,0.001936581655895539,0.0019238737938791104
Moon,0.05316447063218237,0.0,0.00894820667353156,0.023362154399193133,0.0034098325809673456,0.007070994527852131,0.00594163148501322,0.0069832609616260685,0.012860195501609911,0.005655159456322241
M'Nicholl,0.001090289095073469,0.00894820667353156,0.0,0.1112356246821513,0.02705020300028931,0.12794054871491115,0.009538010055332651,0.00872796256271273,0.03419926957139436,0.01845052877574708
Marston,0.010528422378970212,0.023362154399193133,0.1112356246821513,0.0,0.7205402046853348,0.14845641529642362,0.8443468137475688,0.8188379069757774,0.5043205122265718,0.35235845050303827
Projectile,0.003454116120979895,0.0034098325809673456,0.02705020300028931,0.7205402046853348,0.0,0.6057621352958502,0.18680092460330736,0.086172222687476,0.22795008995236002,0.04400780873992055
Susquehanna,0.012213335451157136,0.007070994527852131,0.12794054871491115,0.14845641529642362,0.6057621352958502,0.0,0.9614198603257618,0.9387091524521743,0.538852759954599,0.671622411135047
Michael,0.0011384528537246707,0.00594163148501322,0.009538010055332651,0.8443468137475688,0.18680092460330736,0.9614198603257618,0.0,0.23186148821413236,0.12888378000664025,0.050051603571327416
Captain,0.0020321690308486872,0.0069832609616260685,0.00872796256271273,0.8188379069757774,0.086172222687476,0.9387091524521743,0.23186148821413236,0.0,0.3059519121632578,0.07647880907708106
Tycho,0.001936581655895539,0.012860195501609911,0.03419926957139436,0.5043205122265718,0.22795008995236002,0.538852759954599,0.12888378000664025,0.3059519121632578,0.0,0.352773466756233
Barbican,0.0019238737938791104,0.005655159456322241,0.01845052877574708,0.35235845050303827,0.04400780873992055,0.671622411135047,0.050051603571327416,0.07647880907708106,0.352773466756233,0.0
