,Ardan,Moon,M'Nicholl,Marston,Projectile,Susquehanna,Michael,Captain,Tycho,Barbican
Ardan,0.0,0.04673609975210167,0.0010042754469141357,0.00893403884719796,0.0031544513206864565,0.01039438057254024,0.0010705613593099109,0.00189846374226814,0.0016933232923772717,0.002022338283795982
Moon,0.04673609975210167,0.0,0.00821446771586605,0.019626315981835247,0.0031189752163071505,0.005997770197394097,0.005775078741701783,0.006712268455730405,0.01159332521898445,0.005481076097723235
M'Nicholl,0.0010042754469141357,0.00821446771586605,0.0,0.09409367533048002,0.02433755152196363,0.10841563105918282,0.009094868022942343,0.008587676496023858,0.030777211844599417,0.01750031765612836
Marston,0.00893403884719796,0.019626315981835247,0.09409367533048002,0.0,0.6402602536667278,0.1266482312830574,0.7495552398825233,0.7398886959809012,0.44652427046751797,0.3197552545563218
Projectile,0.0031544513206864565,0.0031189752163071505,0.02433755152196363,0.6402602536667278,0.0,0.5367225668171058,0.16864955084860592,0.08336191186229751,0.20703113196347692,0.04306296350840671
Susquehanna,0.01039438057254024,0.005997770197394097,0.10841563105918282,0.1266482312830574,0.5367225668171058,0.0,0.8573817542812815,0.8507667212184121,0.4757027267447514,0.6145100550223834
Michael,0.0010705613593099109,0.005775078741701783,0.009094868022942343,0.7495552398825233,0.16864955084860592,0.8573817542812815,0.0,0.21219981465688287,0.11267981798713389,0.048799987393169916
Captain,0.00189846374226814,0.006712268455730405,0.008587676496023858,0.7398886959809012,0.08336191186229751,0.8507667212184121,0.21219981465688287,0.0,0.27413525938483874,0.07216962920867866
Tycho,0.0016933232923772717,0.01159332521898445,0.030777211844599417,0.44652427046751797,0.20703113196347692,0.4757027267447514,0.11267981798713389,0.27413525938483874,0.0,0.3329031731020578
Barbican,0.002022338283795982,0.005481076097723235,0.01750031765612836,0.3197552545563218,0.04306296350840671,0.6145100550223834,0.048799987393169916,0.07216962920867866,0.3329031731020578,0.0
