,Ardan,Moon,M'Nicholl,Marston,Projectile,Susquehanna,Michael,Captain,Tycho,Barbican
Ardan,0.0,0.06019489335950414,0.0011792251040270828,0.012313991419004616,0.003766654159536213,0.014208946993526555,0.0012036950229603802,0.0021734352365622624,0.0021959230358217854,0.0018738726579277142
Moon,0.06019489335950414,0.0,0.009726549893429526,0.02754017503199664,0.0037139379877285097,0.008254164211549809,0.006071854280361813,0.0072597229605271246,0.01412980471000825,0.005834615004911781
M'Nicholl,0.0011792251040270828,0.009726549893429526,0.0,0.1302425543286264,0.029878943439924574,0.14950212266274068,0.009948165772810045,0.00889177724676037,0.03763766798641439,0.019542052543311504
Marston,0.012313991419004616,0.02754017503199664,0.1302425543286264,0.0,0.804443045365916,0.1723025691840138,0.9434499999366478,0.8998809643754185,0.5646035447836569,0.3857190575425501
Projectile,0.003766654159536213,0.0037139379877285097,0.029878943439924574,0.804443045365916,0.0,0.6777560583489123,0.20529854323811328,0.08874439999310814,0.24870392441003117,0.04521308255756063
Susquehanna,0.014208946993526555,0.008254164211549809,0.14950212266274068,0.1723025691840138,0.6777560583489123,0.0,1.0694310022145836,1.0283391847815615,0.6044601528940506,0.7295069244724436
Michael,0.0012036950229603802,0.006071854280361813,0.009948165772810045,0.9434499999366478,0.20529854323811328,1.0694310022145836,0.0,0.25209108560789695,0.14609056078237617,0.051648450879840796
Captain,0.0021734352365622624,0.0072597229605271246,0.00889177724676037,0.8998809643754185,0.08874439999310814,1.0283391847815615,0.25209108560789695,0.0,0.3385712073776725,0.08110863715434459
Tycho,0.0021959230358217854,0.01412980471000825,0.03763766798641439,0.5646035447836569,0.24870392441003117,0.6044601528940506,0.14609056078237617,0.3385712073776725,0.0,0.3720308668562706
Barbican,0.0018738726579277142,0.005834615004911781,0.019542052543311504,0.3857190575425501,0.04521308255756063,0.7295069244724436,0.051648450879840796,0.08110863715434459,0.3720308668562706,0.0
